rep	case	h2	env	ts	Qx	P-Chi	P-EN	Ax	P-Ax	type
L6	C1	same-0.3	env-1.0	p-0.50	0.0834511773769125	0.77267384107222	0.751	0.0277431896987839	0.214910232153916	c.p
L6	C1	same-0.3	env-1.0	p-0.50	9.12029315761277	0.00252789449053274	0.002	0.275597469650938	3.44051975637037e-36	nc
L6	C1	same-0.3	env-1.0	p-0.50	0.670078063910501	0.413024391730007	0.381	-0.0789193981803425	0.000411358917455742	c-Tm
L6	C1	same-0.3	env-1.0	p-0.50	0.670078063910501	0.413024391730007	0.425	-0.0789193981803425	0.000411358917455742	c.p-Tm
L6	C1	same-0.3	env-1.0	p-0.50	0.188346859854019	0.664296087835244	0.647	-0.0413549113379011	0.0644458809928145	nc-Tm
L6	C1	same-0.3	env-1.0	p-0.50	0.812329306286132	0.367432485511104	0.354	-0.0868955936253398	9.9823187358664e-05	c-ID
L6	C1	same-0.3	env-1.0	p-0.50	0.812329306286132	0.367432485511104	0.367	-0.0868955936253398	9.9823187358664e-05	c.p-ID
L6	C1	same-0.3	env-1.0	p-0.50	1.33456989517515	0.247993853027931	0.228	-0.10949963288277	9.1692693009663e-07	nc-ID
L7	C1	same-0.3	env-1.0	p-0.50	6.30989214569723	0.0120066143264436	0.006	0.240292933654189	1.15781128796559e-27	c
L7	C1	same-0.3	env-1.0	p-0.50	6.30989214569723	0.0120066143264436	0.007	0.240292933654189	1.15781128796559e-27	c.p
L7	C1	same-0.3	env-1.0	p-0.50	129.684260610203	4.80430320401813e-30	0	0.745538864744811	0	nc
L7	C1	same-0.3	env-1.0	p-0.50	0.00994983051285079	0.920543727413939	0.925	-0.00975693077894511	0.662778110099443	c-Tm
L7	C1	same-0.3	env-1.0	p-0.50	0.00994983051285079	0.920543727413939	0.912	-0.00975693077894511	0.662778110099443	c.p-Tm
L7	C1	same-0.3	env-1.0	p-0.50	0.0102977594700091	0.919171118685119	0.911	-0.00994922785431332	0.656554037337673	nc-Tm
L7	C1	same-0.3	env-1.0	p-0.50	0.00792119557181305	0.929081036941488	0.921	-0.0086954857902334	0.697543821257867	c-ID
L7	C1	same-0.3	env-1.0	p-0.50	0.00792119557181305	0.929081036941488	0.935	-0.0086954857902334	0.697543821257867	c.p-ID
L7	C1	same-0.3	env-1.0	p-0.50	0.0417575185832943	0.838082684065242	0.832	-0.020092636844387	0.369132811004235	nc-ID
L8	C1	same-0.3	env-1.0	p-0.50	0.252585410946873	0.615260464952981	0.569	0.0471529763155392	0.0349791453920036	c
L8	C1	same-0.3	env-1.0	p-0.50	0.252585410946873	0.615260464952981	0.591	0.0471529763155392	0.0349791453920036	c.p
L8	C1	same-0.3	env-1.0	p-0.50	41.3714419468714	1.25883056530447e-10	0	0.523040336238981	7.31716613352637e-141	nc
L8	C1	same-0.3	env-1.0	p-0.50	0.937823805459929	0.332838132300949	0.293	-0.0910096965957146	4.58182411187353e-05	c-Tm
L8	C1	same-0.3	env-1.0	p-0.50	0.937823805459929	0.332838132300949	0.312	-0.0910096965957146	4.58182411187353e-05	c.p-Tm
L8	C1	same-0.3	env-1.0	p-0.50	0.819500237391009	0.365326325185837	0.375	0.0847226632631837	0.000148619055992358	nc-Tm
L8	C1	same-0.3	env-1.0	p-0.50	1.98980194829848	0.158361588939102	0.137	-0.132097565022868	3.03133631953142e-09	c-ID
L8	C1	same-0.3	env-1.0	p-0.50	1.98980194829848	0.158361588939102	0.12	-0.132097565022868	3.03133631953142e-09	c.p-ID
L8	C1	same-0.3	env-1.0	p-0.50	1.22410496982432	0.268556551882828	0.267	-0.104906704730766	2.58111186583274e-06	nc-ID
L9	C1	same-0.3	env-1.0	p-0.50	0.515875053276694	0.4726065907169	0.448	0.0700571665716954	0.00171886171061982	c
L9	C1	same-0.3	env-1.0	p-0.50	0.515875053276694	0.4726065907169	0.463	0.0700571665716954	0.00171886171061982	c.p
L9	C1	same-0.3	env-1.0	p-0.50	12.3824832236289	0.000433380395535596	0	0.326449116319073	7.01317497609043e-51	nc
L9	C1	same-0.3	env-1.0	p-0.50	0.0904928255519118	0.7635515624798	0.765	-0.0293705980864395	0.189198064776949	c-Tm
L9	C1	same-0.3	env-1.0	p-0.50	0.0904928255519118	0.7635515624798	0.752	-0.0293705980864395	0.189198064776949	c.p-Tm
L9	C1	same-0.3	env-1.0	p-0.50	0.0242587114288084	0.876228441610736	0.862	-0.0152428122803986	0.495686305134789	nc-Tm
L9	C1	same-0.3	env-1.0	p-0.50	0.152269481254912	0.696375926897267	0.671	-0.0380816145938849	0.0886402473270803	c-ID
L9	C1	same-0.3	env-1.0	p-0.50	0.152269481254912	0.696375926897267	0.674	-0.0380816145938849	0.0886402473270803	c.p-ID
L9	C1	same-0.3	env-1.0	p-0.50	0.36828917429837	0.54393829470146	0.515	-0.0592156147629392	0.00807609770847877	nc-ID
L10	C1	same-0.3	env-1.0	p-0.50	0.257841317982156	0.61160709193459	0.628	-0.0488042672936234	0.0290704950702508	c
L10	C1	same-0.3	env-1.0	p-0.50	0.257841317982156	0.61160709193459	0.612	-0.0488042672936234	0.0290704950702508	c.p
L10	C1	same-0.3	env-1.0	p-0.50	2.58312779999582	0.108008048794394	0.13	0.15412532285544	4.21349003625603e-12	nc
L10	C1	same-0.3	env-1.0	p-0.50	1.5669989839162	0.210643369761094	0.231	-0.119567785079474	8.17872263858551e-08	c-Tm
L10	C1	same-0.3	env-1.0	p-0.50	1.5669989839162	0.210643369761094	0.256	-0.119567785079474	8.17872263858551e-08	c.p-Tm
L10	C1	same-0.3	env-1.0	p-0.50	0.449967815933229	0.502350238455588	0.503	-0.065074313352903	0.00359722560751637	nc-Tm
L10	C1	same-0.3	env-1.0	p-0.50	2.03847902420924	0.153362925355383	0.159	-0.136062565378401	9.99245851222947e-10	c-ID
L10	C1	same-0.3	env-1.0	p-0.50	2.03847902420924	0.153362925355383	0.176	-0.136062565378401	9.99245851222947e-10	c.p-ID
L10	C1	same-0.3	env-1.0	p-0.50	1.1786864051273	0.277623579666162	0.31	-0.104572303461037	2.77854699757428e-06	nc-ID
L11	C1	same-0.3	env-1.0	p-0.50	0.222493531499168	0.637146505431948	0.636	0.0468498480667442	0.0361683777556683	c
L11	C1	same-0.3	env-1.0	p-0.50	0.222493531499168	0.637146505431948	0.62	0.0468498480667442	0.0361683777556683	c.p
L11	C1	same-0.3	env-1.0	p-0.50	15.3156892643433	9.09579325317904e-05	0.001	0.365293281801499	3.53831717539859e-64	nc
L11	C1	same-0.3	env-1.0	p-0.50	0.213143474319666	0.644314658994775	0.614	-0.0459612619403973	0.0398547474632434	c-Tm
L11	C1	same-0.3	env-1.0	p-0.50	0.213143474319666	0.644314658994775	0.614	-0.0459612619403973	0.0398547474632434	c.p-Tm
L11	C1	same-0.3	env-1.0	p-0.50	0.00308052909045301	0.955738126940801	0.94	0.00559120437187296	0.802670954936966	nc-Tm
L11	C1	same-0.3	env-1.0	p-0.50	0.326535382789356	0.56770633735506	0.531	-0.0568692352251972	0.0109673242052681	c-ID
L11	C1	same-0.3	env-1.0	p-0.50	0.326535382789356	0.56770633735506	0.537	-0.0568692352251972	0.0109673242052681	c.p-ID
L11	C1	same-0.3	env-1.0	p-0.50	0.194869964318252	0.658893923286443	0.642	-0.044276550014745	0.0477214526117304	nc-ID
L12	C1	same-0.3	env-1.0	p-0.50	0.00638693473391226	0.936302234793693	0.924	0.00768893229661883	0.731109810053953	c
L12	C1	same-0.3	env-1.0	p-0.50	0.00638693473391226	0.936302234793693	0.938	0.00768893229661883	0.731109810053953	c.p
L12	C1	same-0.3	env-1.0	p-0.50	9.87863777125892	0.00167208684593219	0.004	0.293014320971927	6.844705610084e-41	nc
L12	C1	same-0.3	env-1.0	p-0.50	1.44909094533868	0.228673874032197	0.23	-0.115428541379223	2.26446019508517e-07	c-Tm
L12	C1	same-0.3	env-1.0	p-0.50	1.44909094533868	0.228673874032197	0.215	-0.115428541379223	2.26446019508517e-07	c.p-Tm
L12	C1	same-0.3	env-1.0	p-0.50	0.603483531838716	0.43725197913419	0.43	-0.0755479503265661	0.000721364317708293	nc-Tm
L12	C1	same-0.3	env-1.0	p-0.50	1.92127466403621	0.165716210247397	0.168	-0.132737628848284	2.53970792026348e-09	c-ID
L12	C1	same-0.3	env-1.0	p-0.50	1.92127466403621	0.165716210247397	0.166	-0.132737628848284	2.53970792026348e-09	c.p-ID
L12	C1	same-0.3	env-1.0	p-0.50	2.57362018846298	0.108658811491149	0.113	-0.155164120710126	3.01318546728387e-12	nc-ID
L13	C1	same-0.3	env-1.0	p-0.50	3.03756465304915	0.081357888474154	0.093	0.163382309248839	1.95905571247324e-13	c
L13	C1	same-0.3	env-1.0	p-0.50	3.03756465304915	0.081357888474154	0.102	0.163382309248839	1.95905571247324e-13	c.p
L13	C1	same-0.3	env-1.0	p-0.50	39.9787885354591	2.56735692602796e-10	0	0.514511138636626	1.33316045419509e-135	nc
L13	C1	same-0.3	env-1.0	p-0.50	0.0053000627588995	0.941964053488239	0.939	0.00690737995981293	0.75753606341599	c-Tm
L13	C1	same-0.3	env-1.0	p-0.50	0.0053000627588995	0.941964053488239	0.944	0.00690737995981293	0.75753606341599	c.p-Tm
L13	C1	same-0.3	env-1.0	p-0.50	0.138936907773012	0.709340165270295	0.711	0.035220385703094	0.115347111654296	nc-Tm
L13	C1	same-0.3	env-1.0	p-0.50	0.0217367506808927	0.88278956075897	0.887	0.0139942446437473	0.531655408666887	c-ID
L13	C1	same-0.3	env-1.0	p-0.50	0.0217367506808927	0.88278956075897	0.89	0.0139942446437473	0.531655408666887	c.p-ID
L13	C1	same-0.3	env-1.0	p-0.50	0.284795926148035	0.593574888374073	0.594	0.0504420342038732	0.0240792672127738	nc-ID
L14	C1	same-0.3	env-1.0	p-0.50	13.5009048275514	0.000238448449291015	0	0.333595511575126	3.46678760650396e-53	c
L14	C1	same-0.3	env-1.0	p-0.50	13.5009048275514	0.000238448449291015	0.001	0.333595511575126	3.46678760650396e-53	c.p
L14	C1	same-0.3	env-1.0	p-0.50	129.264691981145	5.93515114827815e-30	0	0.734814742574854	0	nc
L14	C1	same-0.3	env-1.0	p-0.50	1.4744917113899	0.224638337842924	0.185	0.116188706103205	1.88307860445311e-07	c-Tm
L14	C1	same-0.3	env-1.0	p-0.50	1.4744917113899	0.224638337842924	0.187	0.116188706103205	1.88307860445311e-07	c.p-Tm
L14	C1	same-0.3	env-1.0	p-0.50	3.21512447397126	0.0729606418899461	0.053	0.169489006634423	2.34195765241539e-14	nc-Tm
L14	C1	same-0.3	env-1.0	p-0.50	1.04161962950845	0.307445087916153	0.283	0.0979161791082222	1.15056059212458e-05	c-ID
L14	C1	same-0.3	env-1.0	p-0.50	1.04161962950845	0.307445087916153	0.257	0.0979161791082222	1.15056059212458e-05	c.p-ID
L14	C1	same-0.3	env-1.0	p-0.50	0.521788199779101	0.47007988211588	0.419	0.069173378702656	0.00196612869849224	nc-ID
L15	C1	same-0.3	env-1.0	p-0.50	6.91883140453947	0.00852926955851102	0.01	0.242603495297499	3.5115347727983e-28	c
L15	C1	same-0.3	env-1.0	p-0.50	6.91883140453947	0.00852926955851102	0.015	0.242603495297499	3.5115347727983e-28	c.p
L15	C1	same-0.3	env-1.0	p-0.50	72.179374589742	1.96498840451938e-17	0	0.633555213758362	6.52683996427569e-225	nc
L15	C1	same-0.3	env-1.0	p-0.50	0.666153955554591	0.41439573543004	0.41	0.0773168957932771	0.000538700318637989	c-Tm
L15	C1	same-0.3	env-1.0	p-0.50	0.666153955554591	0.41439573543004	0.45	0.0773168957932771	0.000538700318637989	c.p-Tm
L15	C1	same-0.3	env-1.0	p-0.50	0.954212315039595	0.328649401438167	0.361	0.0922354200894229	3.60995183852091e-05	nc-Tm
L15	C1	same-0.3	env-1.0	p-0.50	0.42458281998465	0.51465911901119	0.524	0.0617953990583928	0.00570120724928394	c-ID
L15	C1	same-0.3	env-1.0	p-0.50	0.42458281998465	0.51465911901119	0.528	0.0617953990583928	0.00570120724928394	c.p-ID
L15	C1	same-0.3	env-1.0	p-0.50	0.0230919102313145	0.879218306454659	0.878	0.0145551804563297	0.515333805735264	nc-ID
L16	C1	same-0.3	env-1.0	p-0.50	0.12133617144737	0.727589798079014	0.734	0.0332035715037571	0.13770553924671	c
L16	C1	same-0.3	env-1.0	p-0.50	0.12133617144737	0.727589798079014	0.709	0.0332035715037571	0.13770553924671	c.p
L16	C1	same-0.3	env-1.0	p-0.50	3.16722186040495	0.0751301415453019	0.086	0.166394137141724	6.94088886940895e-14	nc
L16	C1	same-0.3	env-1.0	p-0.50	0.0803139751953976	0.776872371514079	0.766	-0.0269451419229275	0.228400744625119	c-Tm
L16	C1	same-0.3	env-1.0	p-0.50	0.0803139751953976	0.776872371514079	0.8	-0.0269451419229275	0.228400744625119	c.p-Tm
L16	C1	same-0.3	env-1.0	p-0.50	0.315239662287334	0.574482576783175	0.561	-0.0528568673258876	0.0180785327766836	nc-Tm
L16	C1	same-0.3	env-1.0	p-0.50	0.159895001297711	0.689253204899445	0.705	-0.0379792160972741	0.0895015478558257	c-ID
L16	C1	same-0.3	env-1.0	p-0.50	0.159895001297711	0.689253204899445	0.671	-0.0379792160972741	0.0895015478558257	c.p-ID
L16	C1	same-0.3	env-1.0	p-0.50	0.717520856436321	0.39695831913033	0.412	-0.0790377776726373	0.000403165711660353	nc-ID
L17	C1	same-0.3	env-1.0	p-0.50	12.6041198372862	0.000384897444370356	0.002	0.326154215702877	8.70464199312675e-51	c
L17	C1	same-0.3	env-1.0	p-0.50	12.6041198372862	0.000384897444370356	0.002	0.326154215702877	8.70464199312675e-51	c.p
L17	C1	same-0.3	env-1.0	p-0.50	91.2877278755058	1.24228701207257e-21	0	0.692358648307933	1.7045123625811e-285	nc
L17	C1	same-0.3	env-1.0	p-0.50	1.58855144543725	0.207533213980273	0.326	0.121662071576886	4.82134052331988e-08	c-Tm
L17	C1	same-0.3	env-1.0	p-0.50	1.58855144543725	0.207533213980273	0.312	0.121662071576886	4.82134052331988e-08	c.p-Tm
L17	C1	same-0.3	env-1.0	p-0.50	1.6798720084323	0.194941460448654	0.292	0.126396996224788	1.41244869890235e-08	nc-Tm
L17	C1	same-0.3	env-1.0	p-0.50	1.8396727867429	0.174989303482064	0.261	0.130897958291158	4.21387516117309e-09	c-ID
L17	C1	same-0.3	env-1.0	p-0.50	1.8396727867429	0.174989303482064	0.264	0.130897958291158	4.21387516117309e-09	c.p-ID
L17	C1	same-0.3	env-1.0	p-0.50	2.40314117862588	0.121091883913072	0.205	0.150678528026904	1.26104977580315e-11	nc-ID
L18	C1	same-0.3	env-1.0	p-0.50	7.96657482536664	0.00476490167839211	0.003	0.259162961346945	4.67597845908796e-32	c
L18	C1	same-0.3	env-1.0	p-0.50	7.96657482536664	0.00476490167839211	0.003	0.259162961346945	4.67597845908796e-32	c.p
L18	C1	same-0.3	env-1.0	p-0.50	94.6805961991411	2.23721452884185e-22	0	0.675571352840229	9.30033515696403e-267	nc
L18	C1	same-0.3	env-1.0	p-0.50	0.262574878910996	0.608356671540884	0.594	0.048656937799993	0.0295602828403604	c-Tm
L18	C1	same-0.3	env-1.0	p-0.50	0.262574878910996	0.608356671540884	0.583	0.048656937799993	0.0295602828403604	c.p-Tm
L18	C1	same-0.3	env-1.0	p-0.50	0.833905073273252	0.361145761499513	0.325	0.0868805791261725	0.000100101231861252	nc-Tm
L18	C1	same-0.3	env-1.0	p-0.50	0.214163597482729	0.643523409010014	0.652	0.0439257998122851	0.0495136980836385	c-ID
L18	C1	same-0.3	env-1.0	p-0.50	0.214163597482729	0.643523409010014	0.656	0.0439257998122851	0.0495136980836385	c.p-ID
L18	C1	same-0.3	env-1.0	p-0.50	0.200261622883256	0.654509754400779	0.64	0.0426613953059536	0.0564492393013124	nc-ID
L19	C1	same-0.3	env-1.0	p-0.50	4.54610532357707	0.0329937136845193	0.035	0.197722204959527	4.45186897344023e-19	c
L19	C1	same-0.3	env-1.0	p-0.50	4.54610532357707	0.0329937136845193	0.041	0.197722204959527	4.45186897344023e-19	c.p
L19	C1	same-0.3	env-1.0	p-0.50	109.461900919284	1.28551761416212e-25	0	0.718737893545885	1.66880539414913e-308	nc
L19	C1	same-0.3	env-1.0	p-0.50	0.00314847222516507	0.955253182930303	0.967	-0.00536995151364128	0.810327834143078	c-Tm
L19	C1	same-0.3	env-1.0	p-0.50	0.00314847222516507	0.955253182930303	0.953	-0.00536995151364128	0.810327834143078	c.p-Tm
L19	C1	same-0.3	env-1.0	p-0.50	0.0630856196569957	0.801683830862783	0.809	0.0241801693637483	0.279762944599434	nc-Tm
L19	C1	same-0.3	env-1.0	p-0.50	0.0395922941323836	0.842279856350608	0.864	-0.0191081350877267	0.393057611881027	c-ID
L19	C1	same-0.3	env-1.0	p-0.50	0.0395922941323836	0.842279856350608	0.844	-0.0191081350877267	0.393057611881027	c.p-ID
L19	C1	same-0.3	env-1.0	p-0.50	0.00386210853662765	0.950446672571119	0.938	0.00600441450718953	0.788422131876739	nc-ID
L20	C1	same-0.3	env-1.0	p-0.50	0.271099931758198	0.602594881453147	0.572	0.0523531627281217	0.019209172662634	c
L20	C1	same-0.3	env-1.0	p-0.50	0.271099931758198	0.602594881453147	0.589	0.0523531627281217	0.019209172662634	c.p
L20	C1	same-0.3	env-1.0	p-0.50	26.5143747676529	2.61584368963755e-07	0	0.460177755757897	2.22692624485699e-105	nc
L20	C1	same-0.3	env-1.0	p-0.50	0.276419529843906	0.59905764475504	0.609	-0.0530075787486226	0.0177517587292787	c-Tm
L20	C1	same-0.3	env-1.0	p-0.50	0.276419529843906	0.59905764475504	0.589	-0.0530075787486226	0.0177517587292787	c.p-Tm
L20	C1	same-0.3	env-1.0	p-0.50	0.011745758288081	0.913695971072258	0.915	-0.0109556935732139	0.624373168913097	nc-Tm
L20	C1	same-0.3	env-1.0	p-0.50	0.441017045021016	0.506631979119291	0.509	-0.0669174220268474	0.00275234458525277	c-ID
L20	C1	same-0.3	env-1.0	p-0.50	0.441017045021016	0.506631979119291	0.492	-0.0669174220268474	0.00275234458525277	c.p-ID
L20	C1	same-0.3	env-1.0	p-0.50	0.265306794224023	0.606497533133106	0.602	-0.0527762925064311	0.0182553861290813	nc-ID
L21	C1	same-0.3	env-1.0	p-0.50	1.41379606905239e-05	0.996999922850922	0.997	0.000363797608384945	0.987027485010918	c
L21	C1	same-0.3	env-1.0	p-0.50	1.41379606905239e-05	0.996999922850922	0.995	0.000363797608384945	0.987027485010918	c.p
L21	C1	same-0.3	env-1.0	p-0.50	18.8812145441377	1.39115893055583e-05	0	0.392046765764442	1.79282290762569e-74	nc
L21	C1	same-0.3	env-1.0	p-0.50	3.09067158964373	0.0787423029052998	0.125	-0.168901296414617	2.88314090111354e-14	c-Tm
L21	C1	same-0.3	env-1.0	p-0.50	3.09067158964373	0.0787423029052998	0.115	-0.168901296414617	2.88314090111354e-14	c.p-Tm
L21	C1	same-0.3	env-1.0	p-0.50	0.680403415726205	0.409447843990689	0.452	-0.0801353353628501	0.00033413159542382	nc-Tm
L21	C1	same-0.3	env-1.0	p-0.50	5.1643500435197	0.0230550830161881	0.044	-0.216882365577984	1.01764464690397e-22	c-ID
L21	C1	same-0.3	env-1.0	p-0.50	5.1643500435197	0.0230550830161881	0.048	-0.216882365577984	1.01764464690397e-22	c.p-ID
L21	C1	same-0.3	env-1.0	p-0.50	5.20681115728257	0.0224985634410711	0.037	-0.216031646130139	1.50282551826535e-22	nc-ID
L22	C1	same-0.3	env-1.0	p-0.50	4.49797743495728	0.0339349690194574	0.045	0.203037673376681	4.72500999263325e-20	c
L22	C1	same-0.3	env-1.0	p-0.50	4.49797743495728	0.0339349690194574	0.049	0.203037673376681	4.72500999263325e-20	c.p
L22	C1	same-0.3	env-1.0	p-0.50	83.3229791377541	6.96848389568634e-20	0	0.668250399189768	5.68793728348303e-259	nc
L22	C1	same-0.3	env-1.0	p-0.50	0.00697825694204919	0.9334253837918	0.941	-0.00815291321511859	0.715568688943852	c-Tm
L22	C1	same-0.3	env-1.0	p-0.50	0.00697825694204919	0.9334253837918	0.948	-0.00815291321511859	0.715568688943852	c.p-Tm
L22	C1	same-0.3	env-1.0	p-0.50	0.910374273893016	0.340015132348117	0.378	0.0929847254426262	3.11585714206955e-05	nc-Tm
L22	C1	same-0.3	env-1.0	p-0.50	0.0431446944325715	0.835453058889975	0.842	-0.0202644754117532	0.365051608384971	c-ID
L22	C1	same-0.3	env-1.0	p-0.50	0.0431446944325715	0.835453058889975	0.84	-0.0202644754117532	0.365051608384971	c.p-ID
L22	C1	same-0.3	env-1.0	p-0.50	0.0183945283648038	0.892116610826726	0.903	-0.0133370614927531	0.55110498811075	nc-ID
L23	C1	same-0.3	env-1.0	p-0.50	11.9883972336024	0.000535328116781351	0	0.32438357001892	3.16938226522758e-50	c
L23	C1	same-0.3	env-1.0	p-0.50	11.9883972336024	0.000535328116781351	0	0.32438357001892	3.16938226522758e-50	c.p
L23	C1	same-0.3	env-1.0	p-0.50	94.6702646677821	2.24892159597074e-22	0	0.691804244357172	7.42942828510592e-285	nc
L23	C1	same-0.3	env-1.0	p-0.50	1.95576394427197	0.161967082466172	0.12	0.138619502159979	4.80164590022959e-10	c-Tm
L23	C1	same-0.3	env-1.0	p-0.50	1.95576394427197	0.161967082466172	0.132	0.138619502159979	4.80164590022959e-10	c.p-Tm
