rep	case	h2	env	ts	Qx	P-Chi	P-EN
L1	C1	same-0.3	env-0.0	p-0.50	-14.6396074419991	1	0.903
L2	C1	same-0.3	env-0.0	p-0.50	-30.5065977439605	1	0.557
L3	C1	same-0.3	env-0.0	p-0.50	-1.31610498586068	1	0.562
L4	C1	same-0.3	env-0.0	p-0.50	-1.74263463452927	1	0.56
L5	C1	same-0.3	env-0.0	p-0.50	-3.44398338988491	1	0.697
L6	C1	same-0.3	env-0.0	p-0.50	-1.67823272335427	1	0.421
L7	C1	same-0.3	env-0.0	p-0.50	4.95403689881215	0.0260298199958665	0.184
L8	C1	same-0.3	env-0.0	p-0.50	-5.5152926286374	1	0.729
L9	C1	same-0.3	env-0.0	p-0.50	2.42268206413103	0.119590020123329	0.408
L10	C1	same-0.3	env-0.0	p-0.50	-8.59901386510287	1	0.638
L11	C1	same-0.3	env-0.0	p-0.50	-0.0261104864352549	1	0.054
L12	C1	same-0.3	env-0.0	p-0.50	2.95707710968505	0.0855023757262407	0.319
L13	C1	same-0.3	env-0.0	p-0.50	1.51184361261787	0.218857982843769	0.409
L14	C1	same-0.3	env-0.0	p-0.50	-0.981592871015313	1	0.421
L15	C1	same-0.3	env-0.0	p-0.50	0.441285490301307	0.50650265566419	0.682
L16	C1	same-0.3	env-0.0	p-0.50	-5.23465501800802	1	0.598
L17	C1	same-0.3	env-0.0	p-0.50	0.131477467447734	0.716905041893318	0.813
L18	C1	same-0.3	env-0.0	p-0.50	-9.12456863163426	1	0.689
L19	C1	same-0.3	env-0.0	p-0.50	0.0946539191426026	0.758341995194802	0.949
L20	C1	same-0.3	env-0.0	p-0.50	-0.280874467076389	1	0.331
L21	C1	same-0.3	env-0.0	p-0.50	0.407195638987332	0.523396331058277	0.672
L22	C1	same-0.3	env-0.0	p-0.50	6.58990670204952	0.010255854612521	0.517
L23	C1	same-0.3	env-0.0	p-0.50	-0.482526714248563	1	0.331
L24	C1	same-0.3	env-0.0	p-0.50	0.36254217838993	0.547097753416176	0.853
L25	C1	same-0.3	env-0.0	p-0.50	0.110626007323453	0.739432557937468	0.844
L26	C1	same-0.3	env-0.0	p-0.50	16.0926130037266	6.03188623425059e-05	0.129
L27	C1	same-0.3	env-0.0	p-0.50	0.00482348571891407	0.944630380797936	0.951
L28	C1	same-0.3	env-0.0	p-0.50	0.00744931938440047	0.931220434670541	0.988
L29	C1	same-0.3	env-0.0	p-0.50	0.393932370009191	0.530239589869343	0.753
L30	C1	same-0.3	env-0.0	p-0.50	-1.11447727544732	1	0.509
L31	C1	same-0.3	env-0.0	p-0.50	2.50510439903644	0.113477964629975	0.498
