rep	case	h2	env	ts	ts_magnitude
L85	C1	same-0.3	env-0.0	p-0.50	0.0505878815919433
L86	C1	same-0.3	env-0.0	p-0.50	0.0264296905955397
L87	C1	same-0.3	env-0.0	p-0.50	0.0131110174086863
L88	C1	same-0.3	env-0.0	p-0.50	0.0294514263329374
L89	C1	same-0.3	env-0.0	p-0.50	-0.0680772198684556
L90	C1	same-0.3	env-0.0	p-0.50	0.0329162572006355
L91	C1	same-0.3	env-0.0	p-0.50	-0.178462194289974
L92	C1	same-0.3	env-0.0	p-0.50	0.119026988485404
L93	C1	same-0.3	env-0.0	p-0.50	0.0158507286545879
L94	C1	same-0.3	env-0.0	p-0.50	0.0633281656754514
L95	C1	same-0.3	env-0.0	p-0.50	0.137870526180435
L96	C1	same-0.3	env-0.0	p-0.50	0.150732716630511
L97	C1	same-0.3	env-0.0	p-0.50	-0.0635005512043985
L98	C1	same-0.3	env-0.0	p-0.50	0.0311272751644285
L99	C1	same-0.3	env-0.0	p-0.50	0.00955533218976368
L100	C1	same-0.3	env-0.0	p-0.50	-0.0316924325592863
L1	C1	diff-0.3	env-0.0	p-0.50	
L2	C1	diff-0.3	env-0.0	p-0.50	
L3	C1	diff-0.3	env-0.0	p-0.50	
L4	C1	diff-0.3	env-0.0	p-0.50	
L5	C1	diff-0.3	env-0.0	p-0.50	
L6	C1	diff-0.3	env-0.0	p-0.50	
L7	C1	diff-0.3	env-0.0	p-0.50	
L8	C1	diff-0.3	env-0.0	p-0.50	
L9	C1	diff-0.3	env-0.0	p-0.50	
L10	C1	diff-0.3	env-0.0	p-0.50	
L11	C1	diff-0.3	env-0.0	p-0.50	
L12	C1	diff-0.3	env-0.0	p-0.50	
L13	C1	diff-0.3	env-0.0	p-0.50	
L14	C1	diff-0.3	env-0.0	p-0.50	
L15	C1	diff-0.3	env-0.0	p-0.50	
L16	C1	diff-0.3	env-0.0	p-0.50	
L17	C1	diff-0.3	env-0.0	p-0.50	
L18	C1	diff-0.3	env-0.0	p-0.50	
L19	C1	diff-0.3	env-0.0	p-0.50	
L20	C1	diff-0.3	env-0.0	p-0.50	
L21	C1	diff-0.3	env-0.0	p-0.50	
L22	C1	diff-0.3	env-0.0	p-0.50	
L23	C1	diff-0.3	env-0.0	p-0.50	
L24	C1	diff-0.3	env-0.0	p-0.50	
L25	C1	diff-0.3	env-0.0	p-0.50	
L26	C1	diff-0.3	env-0.0	p-0.50	
L27	C1	diff-0.3	env-0.0	p-0.50	
L28	C1	diff-0.3	env-0.0	p-0.50	
L29	C1	diff-0.3	env-0.0	p-0.50	
L30	C1	diff-0.3	env-0.0	p-0.50	
L31	C1	diff-0.3	env-0.0	p-0.50	
L32	C1	diff-0.3	env-0.0	p-0.50	
L33	C1	diff-0.3	env-0.0	p-0.50	
L34	C1	diff-0.3	env-0.0	p-0.50	
L35	C1	diff-0.3	env-0.0	p-0.50	
L36	C1	diff-0.3	env-0.0	p-0.50	
L37	C1	diff-0.3	env-0.0	p-0.50	
L38	C1	diff-0.3	env-0.0	p-0.50	
L39	C1	diff-0.3	env-0.0	p-0.50	
L40	C1	diff-0.3	env-0.0	p-0.50	
L41	C1	diff-0.3	env-0.0	p-0.50	
L42	C1	diff-0.3	env-0.0	p-0.50	
L43	C1	diff-0.3	env-0.0	p-0.50	
L44	C1	diff-0.3	env-0.0	p-0.50	
L45	C1	diff-0.3	env-0.0	p-0.50	
L46	C1	diff-0.3	env-0.0	p-0.50	
L47	C1	diff-0.3	env-0.0	p-0.50	
L48	C1	diff-0.3	env-0.0	p-0.50	
L49	C1	diff-0.3	env-0.0	p-0.50	
L50	C1	diff-0.3	env-0.0	p-0.50	
L51	C1	diff-0.3	env-0.0	p-0.50	
L52	C1	diff-0.3	env-0.0	p-0.50	
L53	C1	diff-0.3	env-0.0	p-0.50	
L54	C1	diff-0.3	env-0.0	p-0.50	
L55	C1	diff-0.3	env-0.0	p-0.50	
L56	C1	diff-0.3	env-0.0	p-0.50	
L57	C1	diff-0.3	env-0.0	p-0.50	
L58	C1	diff-0.3	env-0.0	p-0.50	
L59	C1	diff-0.3	env-0.0	p-0.50	
L60	C1	diff-0.3	env-0.0	p-0.50	
L61	C1	diff-0.3	env-0.0	p-0.50	
L62	C1	diff-0.3	env-0.0	p-0.50	
L63	C1	diff-0.3	env-0.0	p-0.50	
L64	C1	diff-0.3	env-0.0	p-0.50	
L65	C1	diff-0.3	env-0.0	p-0.50	
L66	C1	diff-0.3	env-0.0	p-0.50	
L67	C1	diff-0.3	env-0.0	p-0.50	
L68	C1	diff-0.3	env-0.0	p-0.50	
L69	C1	diff-0.3	env-0.0	p-0.50	
L70	C1	diff-0.3	env-0.0	p-0.50	
L71	C1	diff-0.3	env-0.0	p-0.50	
L72	C1	diff-0.3	env-0.0	p-0.50	
L73	C1	diff-0.3	env-0.0	p-0.50	
L74	C1	diff-0.3	env-0.0	p-0.50	
L75	C1	diff-0.3	env-0.0	p-0.50	
L76	C1	diff-0.3	env-0.0	p-0.50	
L77	C1	diff-0.3	env-0.0	p-0.50	
L78	C1	diff-0.3	env-0.0	p-0.50	
L79	C1	diff-0.3	env-0.0	p-0.50	
L80	C1	diff-0.3	env-0.0	p-0.50	
L81	C1	diff-0.3	env-0.0	p-0.50	
L82	C1	diff-0.3	env-0.0	p-0.50	
L83	C1	diff-0.3	env-0.0	p-0.50	
L84	C1	diff-0.3	env-0.0	p-0.50	
L85	C1	diff-0.3	env-0.0	p-0.50	
L86	C1	diff-0.3	env-0.0	p-0.50	
L87	C1	diff-0.3	env-0.0	p-0.50	
L88	C1	diff-0.3	env-0.0	p-0.50	
L89	C1	diff-0.3	env-0.0	p-0.50	
L90	C1	diff-0.3	env-0.0	p-0.50	
L91	C1	diff-0.3	env-0.0	p-0.50	
L92	C1	diff-0.3	env-0.0	p-0.50	
L93	C1	diff-0.3	env-0.0	p-0.50	
L94	C1	diff-0.3	env-0.0	p-0.50	
L95	C1	diff-0.3	env-0.0	p-0.50	
L96	C1	diff-0.3	env-0.0	p-0.50	
L97	C1	diff-0.3	env-0.0	p-0.50	
L98	C1	diff-0.3	env-0.0	p-0.50	
L99	C1	diff-0.3	env-0.0	p-0.50	
L100	C1	diff-0.3	env-0.0	p-0.50	
L1	C1	same-0.3	env-1.0	p-0.50	0.0274506374595753
L2	C1	same-0.3	env-1.0	p-0.50	0.305449657010405
L3	C1	same-0.3	env-1.0	p-0.50	0.0217694571569944
L4	C1	same-0.3	env-1.0	p-0.50	-0.117963016055252
L5	C1	same-0.3	env-1.0	p-0.50	-0.131407031767975
L6	C1	same-0.3	env-1.0	p-0.50	-0.0799908091112913
L7	C1	same-0.3	env-1.0	p-0.50	-0.0138012012729032
L8	C1	same-0.3	env-1.0	p-0.50	-0.169005232369868
L9	C1	same-0.3	env-1.0	p-0.50	-0.0695925463405049
L10	C1	same-0.3	env-1.0	p-0.50	-0.129468861529804
L11	C1	same-0.3	env-1.0	p-0.50	-0.0560022726954357
L12	C1	same-0.3	env-1.0	p-0.50	-0.158720223116299
L13	C1	same-0.3	env-1.0	p-0.50	0.0338868287344819
L14	C1	same-0.3	env-1.0	p-0.50	0.112717536951496
L15	C1	same-0.3	env-1.0	p-0.50	0.0522347114439558
L16	C1	same-0.3	env-1.0	p-0.50	-0.0399579706179584
L17	C1	same-0.3	env-1.0	p-0.50	0.0981594679563127
L18	C1	same-0.3	env-1.0	p-0.50	0.0412209002898029
L19	C1	same-0.3	env-1.0	p-0.50	-0.0349178258227709
L20	C1	same-0.3	env-1.0	p-0.50	-0.0982488364886553
L21	C1	same-0.3	env-1.0	p-0.50	-0.232718217396364
L22	C1	same-0.3	env-1.0	p-0.50	-0.0297929492116147
L23	C1	same-0.3	env-1.0	p-0.50	0.113501040772167
L24	C1	same-0.3	env-1.0	p-0.50	0.170819855475479
L25	C1	same-0.3	env-1.0	p-0.50	0.0255823849186969
L26	C1	same-0.3	env-1.0	p-0.50	-0.0842134689488027
L27	C1	same-0.3	env-1.0	p-0.50	0.148132702720544
L28	C1	same-0.3	env-1.0	p-0.50	0.0560715219896023
L29	C1	same-0.3	env-1.0	p-0.50	0.0885681936521587
L30	C1	same-0.3	env-1.0	p-0.50	0.0512294779008677
L31	C1	same-0.3	env-1.0	p-0.50	0.0609031453857969
L32	C1	same-0.3	env-1.0	p-0.50	0.0176818071882621
L33	C1	same-0.3	env-1.0	p-0.50	0.057197741932735
L34	C1	same-0.3	env-1.0	p-0.50	0.0565797811409164
L35	C1	same-0.3	env-1.0	p-0.50	-0.0560117585990675
L36	C1	same-0.3	env-1.0	p-0.50	0.0583035445440257
L37	C1	same-0.3	env-1.0	p-0.50	0.0398208596890819
L38	C1	same-0.3	env-1.0	p-0.50	0.0186400655889262
L39	C1	same-0.3	env-1.0	p-0.50	-0.0298959114954111
L40	C1	same-0.3	env-1.0	p-0.50	-0.0320527313223757
L41	C1	same-0.3	env-1.0	p-0.50	-0.0491546296085862
L42	C1	same-0.3	env-1.0	p-0.50	-0.0729658344455708
L43	C1	same-0.3	env-1.0	p-0.50	-0.0188993993336982
L44	C1	same-0.3	env-1.0	p-0.50	0.0525407771354822
L45	C1	same-0.3	env-1.0	p-0.50	0.171982008760941
L46	C1	same-0.3	env-1.0	p-0.50	0.0425816007676003
L47	C1	same-0.3	env-1.0	p-0.50	-0.106674637333486
L48	C1	same-0.3	env-1.0	p-0.50	-0.127360574175883
L49	C1	same-0.3	env-1.0	p-0.50	-0.00213365379269087
L50	C1	same-0.3	env-1.0	p-0.50	-0.0471229016694915
L51	C1	same-0.3	env-1.0	p-0.50	-0.049747120181949
L52	C1	same-0.3	env-1.0	p-0.50	0.0678494783403272
L53	C1	same-0.3	env-1.0	p-0.50	-0.011892613157787
L54	C1	same-0.3	env-1.0	p-0.50	-0.113585750334104
L55	C1	same-0.3	env-1.0	p-0.50	-0.051367840536001
L56	C1	same-0.3	env-1.0	p-0.50	-0.0417762728068579
L57	C1	same-0.3	env-1.0	p-0.50	0.0760389518412023
L58	C1	same-0.3	env-1.0	p-0.50	0.199547713659442
