rep	case	h2	env	ts	ts_magnitude
L39	C1	same-0.3	env-0.0	p-0.55	0.0788585228608101
L40	C1	same-0.3	env-0.0	p-0.55	0.187927366762074
L41	C1	same-0.3	env-0.0	p-0.55	0.0925916135714581
L42	C1	same-0.3	env-0.0	p-0.55	0.0729674373063649
L43	C1	same-0.3	env-0.0	p-0.55	0.297322555005955
L44	C1	same-0.3	env-0.0	p-0.55	0.100223447055572
L45	C1	same-0.3	env-0.0	p-0.55	-0.0447482548158877
L46	C1	same-0.3	env-0.0	p-0.55	0.0626097748179034
L47	C1	same-0.3	env-0.0	p-0.55	0.0239130153651479
L48	C1	same-0.3	env-0.0	p-0.55	0.0395270415294948
L49	C1	same-0.3	env-0.0	p-0.55	0.0908214579135349
L50	C1	same-0.3	env-0.0	p-0.55	0.236609802173921
L51	C1	same-0.3	env-0.0	p-0.55	-0.122319695574101
L52	C1	same-0.3	env-0.0	p-0.55	0.188094545226437
L53	C1	same-0.3	env-0.0	p-0.55	0.295056579799787
L54	C1	same-0.3	env-0.0	p-0.55	0.140193720255766
L55	C1	same-0.3	env-0.0	p-0.55	0.130367188996188
L56	C1	same-0.3	env-0.0	p-0.55	-0.0543773278422641
L57	C1	same-0.3	env-0.0	p-0.55	0.123277186376777
L58	C1	same-0.3	env-0.0	p-0.55	0.294787534631362
L59	C1	same-0.3	env-0.0	p-0.55	0.182334653783466
L60	C1	same-0.3	env-0.0	p-0.55	0.0563553596407683
L61	C1	same-0.3	env-0.0	p-0.55	-0.0738776625696798
L62	C1	same-0.3	env-0.0	p-0.55	0.109585608850347
L63	C1	same-0.3	env-0.0	p-0.55	-0.218731289828971
L64	C1	same-0.3	env-0.0	p-0.55	0.0845264933055969
L65	C1	same-0.3	env-0.0	p-0.55	0.0578239101128347
L66	C1	same-0.3	env-0.0	p-0.55	0.0405571515826119
L67	C1	same-0.3	env-0.0	p-0.55	0.116167884937706
L68	C1	same-0.3	env-0.0	p-0.55	0.0829725075416653
L69	C1	same-0.3	env-0.0	p-0.55	0.151163119984268
L70	C1	same-0.3	env-0.0	p-0.55	0.0591128726934923
L71	C1	same-0.3	env-0.0	p-0.55	-0.0247443458602303
L72	C1	same-0.3	env-0.0	p-0.55	0.10633598807874
L73	C1	same-0.3	env-0.0	p-0.55	0.197222615961074
L74	C1	same-0.3	env-0.0	p-0.55	-0.144397809766342
L75	C1	same-0.3	env-0.0	p-0.55	-0.025522280054374
L76	C1	same-0.3	env-0.0	p-0.55	0.171638170673492
L77	C1	same-0.3	env-0.0	p-0.55	0.18533351734756
L78	C1	same-0.3	env-0.0	p-0.55	0.0661477555774675
L79	C1	same-0.3	env-0.0	p-0.55	0.13933465693906
L80	C1	same-0.3	env-0.0	p-0.55	0.115400509072032
L81	C1	same-0.3	env-0.0	p-0.55	0.185989630970558
L82	C1	same-0.3	env-0.0	p-0.55	0.0502259736062332
L83	C1	same-0.3	env-0.0	p-0.55	-0.0157890514101317
L84	C1	same-0.3	env-0.0	p-0.55	0.0855328513988087
L85	C1	same-0.3	env-0.0	p-0.55	0.124480262852086
L86	C1	same-0.3	env-0.0	p-0.55	-0.0352575269763572
L87	C1	same-0.3	env-0.0	p-0.55	0.121535340415814
L88	C1	same-0.3	env-0.0	p-0.55	0.0893258605555653
L89	C1	same-0.3	env-0.0	p-0.55	0.0955614376197389
L90	C1	same-0.3	env-0.0	p-0.55	0.288547822427444
L91	C1	same-0.3	env-0.0	p-0.55	0.03917900621774
L92	C1	same-0.3	env-0.0	p-0.55	0.0272985206986237
L93	C1	same-0.3	env-0.0	p-0.55	-0.175438345097801
L94	C1	same-0.3	env-0.0	p-0.55	0.0874466197857878
L95	C1	same-0.3	env-0.0	p-0.55	-0.0392038918132709
L96	C1	same-0.3	env-0.0	p-0.55	-0.0101836752771266
L97	C1	same-0.3	env-0.0	p-0.55	0.418014673270591
L98	C1	same-0.3	env-0.0	p-0.55	0.194227185428522
L99	C1	same-0.3	env-0.0	p-0.55	0.0970109366723865
L100	C1	same-0.3	env-0.0	p-0.55	-0.0130853469812953
L1	C1	diff-0.3	env-0.0	p-0.55	
L2	C1	diff-0.3	env-0.0	p-0.55	
L3	C1	diff-0.3	env-0.0	p-0.55	
L4	C1	diff-0.3	env-0.0	p-0.55	
L5	C1	diff-0.3	env-0.0	p-0.55	
L6	C1	diff-0.3	env-0.0	p-0.55	
L7	C1	diff-0.3	env-0.0	p-0.55	
L8	C1	diff-0.3	env-0.0	p-0.55	
L9	C1	diff-0.3	env-0.0	p-0.55	
L10	C1	diff-0.3	env-0.0	p-0.55	
L11	C1	diff-0.3	env-0.0	p-0.55	
L12	C1	diff-0.3	env-0.0	p-0.55	
L13	C1	diff-0.3	env-0.0	p-0.55	
L14	C1	diff-0.3	env-0.0	p-0.55	
L15	C1	diff-0.3	env-0.0	p-0.55	
L16	C1	diff-0.3	env-0.0	p-0.55	
L17	C1	diff-0.3	env-0.0	p-0.55	
L18	C1	diff-0.3	env-0.0	p-0.55	
L19	C1	diff-0.3	env-0.0	p-0.55	
L20	C1	diff-0.3	env-0.0	p-0.55	
L21	C1	diff-0.3	env-0.0	p-0.55	
L22	C1	diff-0.3	env-0.0	p-0.55	
L23	C1	diff-0.3	env-0.0	p-0.55	
L24	C1	diff-0.3	env-0.0	p-0.55	
L25	C1	diff-0.3	env-0.0	p-0.55	
L26	C1	diff-0.3	env-0.0	p-0.55	
L27	C1	diff-0.3	env-0.0	p-0.55	
L28	C1	diff-0.3	env-0.0	p-0.55	
L29	C1	diff-0.3	env-0.0	p-0.55	
L30	C1	diff-0.3	env-0.0	p-0.55	
L31	C1	diff-0.3	env-0.0	p-0.55	
L32	C1	diff-0.3	env-0.0	p-0.55	
L33	C1	diff-0.3	env-0.0	p-0.55	
L34	C1	diff-0.3	env-0.0	p-0.55	
L35	C1	diff-0.3	env-0.0	p-0.55	
L36	C1	diff-0.3	env-0.0	p-0.55	
L37	C1	diff-0.3	env-0.0	p-0.55	
L38	C1	diff-0.3	env-0.0	p-0.55	
L39	C1	diff-0.3	env-0.0	p-0.55	
L40	C1	diff-0.3	env-0.0	p-0.55	
L41	C1	diff-0.3	env-0.0	p-0.55	
L42	C1	diff-0.3	env-0.0	p-0.55	
L43	C1	diff-0.3	env-0.0	p-0.55	
L44	C1	diff-0.3	env-0.0	p-0.55	
L45	C1	diff-0.3	env-0.0	p-0.55	
L46	C1	diff-0.3	env-0.0	p-0.55	
L47	C1	diff-0.3	env-0.0	p-0.55	
L48	C1	diff-0.3	env-0.0	p-0.55	
L49	C1	diff-0.3	env-0.0	p-0.55	
L50	C1	diff-0.3	env-0.0	p-0.55	
L51	C1	diff-0.3	env-0.0	p-0.55	
L52	C1	diff-0.3	env-0.0	p-0.55	
L53	C1	diff-0.3	env-0.0	p-0.55	
L54	C1	diff-0.3	env-0.0	p-0.55	
L55	C1	diff-0.3	env-0.0	p-0.55	
L56	C1	diff-0.3	env-0.0	p-0.55	
L57	C1	diff-0.3	env-0.0	p-0.55	
L58	C1	diff-0.3	env-0.0	p-0.55	
L59	C1	diff-0.3	env-0.0	p-0.55	
L60	C1	diff-0.3	env-0.0	p-0.55	
L61	C1	diff-0.3	env-0.0	p-0.55	
L62	C1	diff-0.3	env-0.0	p-0.55	
L63	C1	diff-0.3	env-0.0	p-0.55	
L64	C1	diff-0.3	env-0.0	p-0.55	
L65	C1	diff-0.3	env-0.0	p-0.55	
L66	C1	diff-0.3	env-0.0	p-0.55	
L67	C1	diff-0.3	env-0.0	p-0.55	
L68	C1	diff-0.3	env-0.0	p-0.55	
L69	C1	diff-0.3	env-0.0	p-0.55	
L70	C1	diff-0.3	env-0.0	p-0.55	
L71	C1	diff-0.3	env-0.0	p-0.55	
L72	C1	diff-0.3	env-0.0	p-0.55	
L73	C1	diff-0.3	env-0.0	p-0.55	
L74	C1	diff-0.3	env-0.0	p-0.55	
L75	C1	diff-0.3	env-0.0	p-0.55	
L76	C1	diff-0.3	env-0.0	p-0.55	
L77	C1	diff-0.3	env-0.0	p-0.55	
L78	C1	diff-0.3	env-0.0	p-0.55	
L79	C1	diff-0.3	env-0.0	p-0.55	
L80	C1	diff-0.3	env-0.0	p-0.55	
L81	C1	diff-0.3	env-0.0	p-0.55	
L82	C1	diff-0.3	env-0.0	p-0.55	
L83	C1	diff-0.3	env-0.0	p-0.55	
L84	C1	diff-0.3	env-0.0	p-0.55	
L85	C1	diff-0.3	env-0.0	p-0.55	
L86	C1	diff-0.3	env-0.0	p-0.55	
L87	C1	diff-0.3	env-0.0	p-0.55	
L88	C1	diff-0.3	env-0.0	p-0.55	
L89	C1	diff-0.3	env-0.0	p-0.55	
L90	C1	diff-0.3	env-0.0	p-0.55	
L91	C1	diff-0.3	env-0.0	p-0.55	
L92	C1	diff-0.3	env-0.0	p-0.55	
L93	C1	diff-0.3	env-0.0	p-0.55	
L94	C1	diff-0.3	env-0.0	p-0.55	
L95	C1	diff-0.3	env-0.0	p-0.55	
L96	C1	diff-0.3	env-0.0	p-0.55	
L97	C1	diff-0.3	env-0.0	p-0.55	
L98	C1	diff-0.3	env-0.0	p-0.55	
L99	C1	diff-0.3	env-0.0	p-0.55	
L100	C1	diff-0.3	env-0.0	p-0.55	
L1	C1	same-0.3	env-1.0	p-0.55	0.0400775585087137
L2	C1	same-0.3	env-1.0	p-0.55	0.123765405095772
L3	C1	same-0.3	env-1.0	p-0.55	0.203483003791361
L4	C1	same-0.3	env-1.0	p-0.55	0.159782355529651
L5	C1	same-0.3	env-1.0	p-0.55	0.0302428074541761
L6	C1	same-0.3	env-1.0	p-0.55	0.135319382835318
L7	C1	same-0.3	env-1.0	p-0.55	0.0759594459706717
L8	C1	same-0.3	env-1.0	p-0.55	-0.0156825603925412
L9	C1	same-0.3	env-1.0	p-0.55	0.128219577893575
L10	C1	same-0.3	env-1.0	p-0.55	0.235469810507283
L11	C1	same-0.3	env-1.0	p-0.55	0.119824290852406
L12	C1	same-0.3	env-1.0	p-0.55	0.24619777142388
L13	C1	same-0.3	env-1.0	p-0.55	0.100935623630345
L14	C1	same-0.3	env-1.0	p-0.55	0.135414259698929
L15	C1	same-0.3	env-1.0	p-0.55	0.1462042404475
L16	C1	same-0.3	env-1.0	p-0.55	0.313107246409598
L17	C1	same-0.3	env-1.0	p-0.55	0.153333689825203
L18	C1	same-0.3	env-1.0	p-0.55	0.0152214146061536
L19	C1	same-0.3	env-1.0	p-0.55	0.110168155462741
L20	C1	same-0.3	env-1.0	p-0.55	0.091586112547659
L21	C1	same-0.3	env-1.0	p-0.55	0.139744237865918
L22	C1	same-0.3	env-1.0	p-0.55	0.102315530861039
L23	C1	same-0.3	env-1.0	p-0.55	-0.000680985958229963
L24	C1	same-0.3	env-1.0	p-0.55	0.0805818827142349
L25	C1	same-0.3	env-1.0	p-0.55	0.160030181218437
L26	C1	same-0.3	env-1.0	p-0.55	0.019298818654901
L27	C1	same-0.3	env-1.0	p-0.55	-0.0367519836040869
L28	C1	same-0.3	env-1.0	p-0.55	0.015381285304086
L29	C1	same-0.3	env-1.0	p-0.55	0.0941125766408731
L30	C1	same-0.3	env-1.0	p-0.55	0.162042271660916
L31	C1	same-0.3	env-1.0	p-0.55	0.243751781708927
L32	C1	same-0.3	env-1.0	p-0.55	0.273102269846295
L33	C1	same-0.3	env-1.0	p-0.55	0.168978192157133
L34	C1	same-0.3	env-1.0	p-0.55	0.0571501452304159
L35	C1	same-0.3	env-1.0	p-0.55	0.15217126155694
L36	C1	same-0.3	env-1.0	p-0.55	0.0915979470676264
L37	C1	same-0.3	env-1.0	p-0.55	0.0766419854819567
L38	C1	same-0.3	env-1.0	p-0.55	0.104164654887679
L39	C1	same-0.3	env-1.0	p-0.55	0.0538282132451303
L40	C1	same-0.3	env-1.0	p-0.55	-0.0677474596331156
L41	C1	same-0.3	env-1.0	p-0.55	0.176911559462867
L42	C1	same-0.3	env-1.0	p-0.55	0.0301438278428567
L43	C1	same-0.3	env-1.0	p-0.55	0.201934743601235
L44	C1	same-0.3	env-1.0	p-0.55	-0.0294688867301576
L45	C1	same-0.3	env-1.0	p-0.55	0.203995277668305
L46	C1	same-0.3	env-1.0	p-0.55	0.148196675304937
L47	C1	same-0.3	env-1.0	p-0.55	0.128349246759548
L48	C1	same-0.3	env-1.0	p-0.55	0.0588050148177008
L49	C1	same-0.3	env-1.0	p-0.55	-0.0333292986568872
L50	C1	same-0.3	env-1.0	p-0.55	0.110518941364965
L51	C1	same-0.3	env-1.0	p-0.55	0.122104353664096
L52	C1	same-0.3	env-1.0	p-0.55	0.0264934210219895
L53	C1	same-0.3	env-1.0	p-0.55	0.0801767351924609
L54	C1	same-0.3	env-1.0	p-0.55	0.10200428734751
L55	C1	same-0.3	env-1.0	p-0.55	0.0912768698585672
L56	C1	same-0.3	env-1.0	p-0.55	0.169602698361754
L57	C1	same-0.3	env-1.0	p-0.55	0.0129400364742161
L58	C1	same-0.3	env-1.0	p-0.55	0.0922847578524052
L59	C1	same-0.3	env-1.0	p-0.55	0.189070690339394
L60	C1	same-0.3	env-1.0	p-0.55	0.0847561598204651
L61	C1	same-0.3	env-1.0	p-0.55	0.107434652045142
L62	C1	same-0.3	env-1.0	p-0.55	0.194887640076191
L63	C1	same-0.3	env-1.0	p-0.55	0.0789823897996114
L64	C1	same-0.3	env-1.0	p-0.55	0.229462225746554
L65	C1	same-0.3	env-1.0	p-0.55	-0.00602704320651325
L66	C1	same-0.3	env-1.0	p-0.55	0.169715866884431
L67	C1	same-0.3	env-1.0	p-0.55	0.103498485456529
L68	C1	same-0.3	env-1.0	p-0.55	-0.050560138039055
L69	C1	same-0.3	env-1.0	p-0.55	0.0645877449998239
L70	C1	same-0.3	env-1.0	p-0.55	0.0866116546584705
L71	C1	same-0.3	env-1.0	p-0.55	0.149198698692837
L72	C1	same-0.3	env-1.0	p-0.55	0.121453851670933
L73	C1	same-0.3	env-1.0	p-0.55	0.0888381681303783
L74	C1	same-0.3	env-1.0	p-0.55	0.0975246617095916
L75	C1	same-0.3	env-1.0	p-0.55	0.233469288842734
L76	C1	same-0.3	env-1.0	p-0.55	0.0954629908461718
L77	C1	same-0.3	env-1.0	p-0.55	0.0883863933642516
L78	C1	same-0.3	env-1.0	p-0.55	0.0168686137469065
L79	C1	same-0.3	env-1.0	p-0.55	0.155016318611744
L80	C1	same-0.3	env-1.0	p-0.55	0.0352247596715365
L81	C1	same-0.3	env-1.0	p-0.55	-0.0353461729821325
L82	C1	same-0.3	env-1.0	p-0.55	0.208119693659361
L83	C1	same-0.3	env-1.0	p-0.55	-0.124420302072954
L84	C1	same-0.3	env-1.0	p-0.55	0.213688492242295
L85	C1	same-0.3	env-1.0	p-0.55	-0.0164141524043462
L86	C1	same-0.3	env-1.0	p-0.55	0.0427876870241211
L87	C1	same-0.3	env-1.0	p-0.55	0.054776042644298
L88	C1	same-0.3	env-1.0	p-0.55	0.130943152219604
L89	C1	same-0.3	env-1.0	p-0.55	0.156562653178086
L90	C1	same-0.3	env-1.0	p-0.55	0.138071521550388
L91	C1	same-0.3	env-1.0	p-0.55	0.214982209623549
L92	C1	same-0.3	env-1.0	p-0.55	-0.00203772844717065
L93	C1	same-0.3	env-1.0	p-0.55	0.0529830790865183
L94	C1	same-0.3	env-1.0	p-0.55	-0.0901065982555043
L95	C1	same-0.3	env-1.0	p-0.55	0.0116814099317131
L96	C1	same-0.3	env-1.0	p-0.55	0.136149747853557
L97	C1	same-0.3	env-1.0	p-0.55	0.076151768468864
L98	C1	same-0.3	env-1.0	p-0.55	0.175919680661485
L99	C1	same-0.3	env-1.0	p-0.55	0.0282804318404659
L100	C1	same-0.3	env-1.0	p-0.55	0.0822408882394706
L1	C1	diff-0.3	env-1.0	p-0.55	-0.00899481890357246
L2	C1	diff-0.3	env-1.0	p-0.55	-0.0334169806762091
L3	C1	diff-0.3	env-1.0	p-0.55	-0.176454870163709
L4	C1	diff-0.3	env-1.0	p-0.55	-0.176048249765697
L5	C1	diff-0.3	env-1.0	p-0.55	-0.0491884620891321
L6	C1	diff-0.3	env-1.0	p-0.55	-0.187707807577258
L7	C1	diff-0.3	env-1.0	p-0.55	-0.117213957009342
L8	C1	diff-0.3	env-1.0	p-0.55	-0.122704983794553
L9	C1	diff-0.3	env-1.0	p-0.55	-0.111445274224135
L10	C1	diff-0.3	env-1.0	p-0.55	-0.0976614334473924
L11	C1	diff-0.3	env-1.0	p-0.55	-0.178028285389901
L12	C1	diff-0.3	env-1.0	p-0.55	-0.0184388518127337
L13	C1	diff-0.3	env-1.0	p-0.55	0.0325335538986884
L14	C1	diff-0.3	env-1.0	p-0.55	-0.154410545844372
L15	C1	diff-0.3	env-1.0	p-0.55	-0.0622769017137775
L16	C1	diff-0.3	env-1.0	p-0.55	-0.0756916456291112
L17	C1	diff-0.3	env-1.0	p-0.55	-0.0619305355591275
L18	C1	diff-0.3	env-1.0	p-0.55	0.0217927487223557
L19	C1	diff-0.3	env-1.0	p-0.55	0.0555985400134409
L20	C1	diff-0.3	env-1.0	p-0.55	-0.147122565706024
L21	C1	diff-0.3	env-1.0	p-0.55	0.00438776073284686
L22	C1	diff-0.3	env-1.0	p-0.55	-0.0428514988294606
L23	C1	diff-0.3	env-1.0	p-0.55	-0.135562543283509
L24	C1	diff-0.3	env-1.0	p-0.55	-0.0293604728143964
L25	C1	diff-0.3	env-1.0	p-0.55	-0.0348838793905152
L26	C1	diff-0.3	env-1.0	p-0.55	0.0160043345023024
L27	C1	diff-0.3	env-1.0	p-0.55	0.0304700005392924
L28	C1	diff-0.3	env-1.0	p-0.55	-0.28471716876099
L29	C1	diff-0.3	env-1.0	p-0.55	-0.217651971526601
L30	C1	diff-0.3	env-1.0	p-0.55	-0.0559924604354182
L31	C1	diff-0.3	env-1.0	p-0.55	-0.104341316631956
L32	C1	diff-0.3	env-1.0	p-0.55	-0.0900361242931639
L33	C1	diff-0.3	env-1.0	p-0.55	-0.143441487507899
L34	C1	diff-0.3	env-1.0	p-0.55	-0.151413594129898
L35	C1	diff-0.3	env-1.0	p-0.55	-0.0835502817932568
L36	C1	diff-0.3	env-1.0	p-0.55	-0.0647859561043602
L37	C1	diff-0.3	env-1.0	p-0.55	-0.109878047254962
L38	C1	diff-0.3	env-1.0	p-0.55	0.0435157631672831
L39	C1	diff-0.3	env-1.0	p-0.55	-0.0651722822272987
L40	C1	diff-0.3	env-1.0	p-0.55	0.0206419436528091
L41	C1	diff-0.3	env-1.0	p-0.55	-0.136304062022748
L42	C1	diff-0.3	env-1.0	p-0.55	0.00749546781641572
L43	C1	diff-0.3	env-1.0	p-0.55	-0.0666102029478028
L44	C1	diff-0.3	env-1.0	p-0.55	-0.205524096373144
L45	C1	diff-0.3	env-1.0	p-0.55	-0.0967383105915671
L46	C1	diff-0.3	env-1.0	p-0.55	0.0690762553546438
L47	C1	diff-0.3	env-1.0	p-0.55	-0.00027411400574881
L48	C1	diff-0.3	env-1.0	p-0.55	0.0612726940598267
L49	C1	diff-0.3	env-1.0	p-0.55	0.119305946853489
L50	C1	diff-0.3	env-1.0	p-0.55	-0.106765135794146
L51	C1	diff-0.3	env-1.0	p-0.55	-0.0326339920380373
L52	C1	diff-0.3	env-1.0	p-0.55	-0.172649165783097
L53	C1	diff-0.3	env-1.0	p-0.55	0.10531365158782
L54	C1	diff-0.3	env-1.0	p-0.55	-0.0896402753332021
L55	C1	diff-0.3	env-1.0	p-0.55	-0.0331711538041177
L56	C1	diff-0.3	env-1.0	p-0.55	-0.154234723436835
L57	C1	diff-0.3	env-1.0	p-0.55	-0.121295237082987
L58	C1	diff-0.3	env-1.0	p-0.55	-0.312352436516975
L59	C1	diff-0.3	env-1.0	p-0.55	-0.0847547589812388
L60	C1	diff-0.3	env-1.0	p-0.55	-0.0153811886815329
L61	C1	diff-0.3	env-1.0	p-0.55	-0.069182834917582
L62	C1	diff-0.3	env-1.0	p-0.55	-0.287526423327289
L63	C1	diff-0.3	env-1.0	p-0.55	0.0317467198882436
L64	C1	diff-0.3	env-1.0	p-0.55	-0.203632050700815
L65	C1	diff-0.3	env-1.0	p-0.55	-0.0917393193934642
L66	C1	diff-0.3	env-1.0	p-0.55	-0.123169749259677
L67	C1	diff-0.3	env-1.0	p-0.55	-0.16566233306057
L68	C1	diff-0.3	env-1.0	p-0.55	0.0247098303447676
L69	C1	diff-0.3	env-1.0	p-0.55	-0.0150150014047365
L70	C1	diff-0.3	env-1.0	p-0.55	-0.143088575322194
L71	C1	diff-0.3	env-1.0	p-0.55	-0.0679362994458278
L72	C1	diff-0.3	env-1.0	p-0.55	-0.309961085755606
L73	C1	diff-0.3	env-1.0	p-0.55	0.0734452773003702
L74	C1	diff-0.3	env-1.0	p-0.55	-0.126537273930552
L75	C1	diff-0.3	env-1.0	p-0.55	-0.197402243544047
L76	C1	diff-0.3	env-1.0	p-0.55	0.064086666267381
L77	C1	diff-0.3	env-1.0	p-0.55	-0.24725769936117
L78	C1	diff-0.3	env-1.0	p-0.55	-0.203781514370529
L79	C1	diff-0.3	env-1.0	p-0.55	-0.0810292789402705
L80	C1	diff-0.3	env-1.0	p-0.55	-0.0701299145182432
L81	C1	diff-0.3	env-1.0	p-0.55	-0.121787004975696
L82	C1	diff-0.3	env-1.0	p-0.55	-0.103002253043124
L83	C1	diff-0.3	env-1.0	p-0.55	-0.104401493248089
L84	C1	diff-0.3	env-1.0	p-0.55	0.00151365250702171
L85	C1	diff-0.3	env-1.0	p-0.55	-0.407864829921054
L86	C1	diff-0.3	env-1.0	p-0.55	-0.0454595356421199
L87	C1	diff-0.3	env-1.0	p-0.55	-0.030790593047356
L88	C1	diff-0.3	env-1.0	p-0.55	-0.188628196212056
L89	C1	diff-0.3	env-1.0	p-0.55	0.000874936786667169
L90	C1	diff-0.3	env-1.0	p-0.55	-0.123483228925172
L91	C1	diff-0.3	env-1.0	p-0.55	-0.0292425817512713
L92	C1	diff-0.3	env-1.0	p-0.55	-0.154101106400945
L93	C1	diff-0.3	env-1.0	p-0.55	-0.235714544251719
L94	C1	diff-0.3	env-1.0	p-0.55	-0.217231798576835
L95	C1	diff-0.3	env-1.0	p-0.55	-0.137696488839152
L96	C1	diff-0.3	env-1.0	p-0.55	0.00846640939143728
L97	C1	diff-0.3	env-1.0	p-0.55	-0.0472314727362061
L98	C1	diff-0.3	env-1.0	p-0.55	-0.192681230929818
L99	C1	diff-0.3	env-1.0	p-0.55	-0.197909466188364
L100	C1	diff-0.3	env-1.0	p-0.55	-0.0385352222538519
L1	C1	same-0.3	env-0.0	p-0.60	0.26243020166664
L2	C1	same-0.3	env-0.0	p-0.60	0.189536825760218
L3	C1	same-0.3	env-0.0	p-0.60	0.2986098230406
L4	C1	same-0.3	env-0.0	p-0.60	0.319854775536927
L5	C1	same-0.3	env-0.0	p-0.60	0.219934424466226
L6	C1	same-0.3	env-0.0	p-0.60	0.208727053825485
L7	C1	same-0.3	env-0.0	p-0.60	0.105994512730415
L8	C1	same-0.3	env-0.0	p-0.60	0.120850309917467
L9	C1	same-0.3	env-0.0	p-0.60	0.0809108928856771
L10	C1	same-0.3	env-0.0	p-0.60	0.353470390490283
L11	C1	same-0.3	env-0.0	p-0.60	0.34799681358005
L12	C1	same-0.3	env-0.0	p-0.60	0.0930458389930036
L13	C1	same-0.3	env-0.0	p-0.60	0.297898878228057
L14	C1	same-0.3	env-0.0	p-0.60	0.239851243741594
L15	C1	same-0.3	env-0.0	p-0.60	0.235546319862444
L16	C1	same-0.3	env-0.0	p-0.60	0.11034183793059
L17	C1	same-0.3	env-0.0	p-0.60	0.128192116509039
L18	C1	same-0.3	env-0.0	p-0.60	0.158597587071931
L19	C1	same-0.3	env-0.0	p-0.60	0.00147845920132328
L20	C1	same-0.3	env-0.0	p-0.60	-0.156961639194202
L21	C1	same-0.3	env-0.0	p-0.60	0.16709285206195
L22	C1	same-0.3	env-0.0	p-0.60	0.10781338663989
L23	C1	same-0.3	env-0.0	p-0.60	0.209934789088006
L24	C1	same-0.3	env-0.0	p-0.60	0.143139597532392
L25	C1	same-0.3	env-0.0	p-0.60	0.105145570761123
L26	C1	same-0.3	env-0.0	p-0.60	0.19612517465591
L27	C1	same-0.3	env-0.0	p-0.60	0.171484901192421
L28	C1	same-0.3	env-0.0	p-0.60	0.218779964848946
L29	C1	same-0.3	env-0.0	p-0.60	0.287854637064502
L30	C1	same-0.3	env-0.0	p-0.60	0.118538416130327
L31	C1	same-0.3	env-0.0	p-0.60	0.240254559287631
L32	C1	same-0.3	env-0.0	p-0.60	0.29246297202157
L33	C1	same-0.3	env-0.0	p-0.60	0.146830660455491
L34	C1	same-0.3	env-0.0	p-0.60	0.0733922681748911
L35	C1	same-0.3	env-0.0	p-0.60	0.263263099888943
L36	C1	same-0.3	env-0.0	p-0.60	0.21548197826275
L37	C1	same-0.3	env-0.0	p-0.60	0.22257690554327
L38	C1	same-0.3	env-0.0	p-0.60	0.250903884095085
L39	C1	same-0.3	env-0.0	p-0.60	0.240206105677333
L40	C1	same-0.3	env-0.0	p-0.60	0.103594231700047
L41	C1	same-0.3	env-0.0	p-0.60	0.221926879335222
L42	C1	same-0.3	env-0.0	p-0.60	0.154628759843161
L43	C1	same-0.3	env-0.0	p-0.60	0.132471007264771
L44	C1	same-0.3	env-0.0	p-0.60	0.0732996463152378
L45	C1	same-0.3	env-0.0	p-0.60	0.305146567541093
L46	C1	same-0.3	env-0.0	p-0.60	0.165435402894389
L47	C1	same-0.3	env-0.0	p-0.60	0.226809195375364
L48	C1	same-0.3	env-0.0	p-0.60	-0.0421861092624851
L49	C1	same-0.3	env-0.0	p-0.60	0.260464464362335
L50	C1	same-0.3	env-0.0	p-0.60	0.378045513836515
L51	C1	same-0.3	env-0.0	p-0.60	0.151693789028948
L52	C1	same-0.3	env-0.0	p-0.60	0.133687423001888
L53	C1	same-0.3	env-0.0	p-0.60	0.21026537357099
L54	C1	same-0.3	env-0.0	p-0.60	0.145565188733668
L55	C1	same-0.3	env-0.0	p-0.60	0.0872851454275643
L56	C1	same-0.3	env-0.0	p-0.60	0.15804831144079
L57	C1	same-0.3	env-0.0	p-0.60	0.109908289908567
L58	C1	same-0.3	env-0.0	p-0.60	0.27956034802247
L59	C1	same-0.3	env-0.0	p-0.60	0.0921665107199745
L60	C1	same-0.3	env-0.0	p-0.60	0.184770337444767
L61	C1	same-0.3	env-0.0	p-0.60	0.169357108715553
L62	C1	same-0.3	env-0.0	p-0.60	0.19149323969568
L63	C1	same-0.3	env-0.0	p-0.60	0.211567761900111
L64	C1	same-0.3	env-0.0	p-0.60	-0.0150686073067315
L65	C1	same-0.3	env-0.0	p-0.60	0.424056501650054
L66	C1	same-0.3	env-0.0	p-0.60	0.21457959608678
L67	C1	same-0.3	env-0.0	p-0.60	0.229011130189827
L68	C1	same-0.3	env-0.0	p-0.60	0.220589303763658
L69	C1	same-0.3	env-0.0	p-0.60	0.0103455250787228
L70	C1	same-0.3	env-0.0	p-0.60	0.337109878107797
L71	C1	same-0.3	env-0.0	p-0.60	0.187988217965527
L72	C1	same-0.3	env-0.0	p-0.60	0.0665982227928772
L73	C1	same-0.3	env-0.0	p-0.60	0.131881912996206
L74	C1	same-0.3	env-0.0	p-0.60	0.270754487739761
L75	C1	same-0.3	env-0.0	p-0.60	0.307632258765738
L76	C1	same-0.3	env-0.0	p-0.60	0.292538830396617
L77	C1	same-0.3	env-0.0	p-0.60	0.30302332564986
L78	C1	same-0.3	env-0.0	p-0.60	0.179530308028862
L79	C1	same-0.3	env-0.0	p-0.60	0.200875961582876
L80	C1	same-0.3	env-0.0	p-0.60	0.187236600032419
L81	C1	same-0.3	env-0.0	p-0.60	0.475732612092802
L82	C1	same-0.3	env-0.0	p-0.60	0.0758808904009127
