rep,env,V1,Qx_random,Qx_strat,p_random,p_strat,REP
M1,env-0.0,c,2.71627379127969,5.86135269553222,0.0993296512784209,0.0154768951160397,M1
M1,env-0.0,c.p,2.71627379127969,5.86135269553222,0.0993296512784209,0.0154768951160397,M1
M1,env-0.0,nc,1.49980279886688,2.39828649920821,0.220701707026399,0.121468234232153,M1
M1,env-0.0,Tm-c,2.90022316503272,5.72760219176051,0.0885672901190163,0.0167002702637715,M1
M1,env-0.0,Tm-c.p,2.90022316503272,5.72760219176051,0.0885672901190163,0.0167002702637715,M1
M1,env-0.0,Tm-nc,2.25913644646773,2.18242214937585,0.132828111446177,0.139594615968038,M1
M2,env-0.0,c,0.520132507628623,1.74387807174519,0.470785163486389,0.186648198676232,M2
M2,env-0.0,c.p,0.520132507628623,1.74387807174519,0.470785163486389,0.186648198676232,M2
M2,env-0.0,nc,0.876060061666071,1.12543948075029,0.349283072303694,0.288750200612872,M2
M2,env-0.0,Tm-c,0.15082613905011,2.26981119438431,0.697747117159064,0.13191597234811,M2
M2,env-0.0,Tm-c.p,0.15082613905011,2.26981119438431,0.697747117159064,0.13191597234811,M2
M2,env-0.0,Tm-nc,3.52712603827921,0.839147926784376,0.0603723503030402,0.35964057792347,M2
M3,env-0.0,c,0.00717051195925346,1.401899079245,0.932516690529811,0.236405861545319,M3
M3,env-0.0,c.p,0.00717051195925346,1.401899079245,0.932516690529811,0.236405861545319,M3
M3,env-0.0,nc,3.18258937004978,0.1850792681876,0.0744266996740798,0.667044051515605,M3
M3,env-0.0,Tm-c,0.131741790043588,1.5560098854085,0.71663288338454,0.212250407441302,M3
M3,env-0.0,Tm-c.p,0.131741790043588,1.5560098854085,0.71663288338454,0.212250407441302,M3
M3,env-0.0,Tm-nc,0.184729366800186,0.0318537658240123,0.667340010001691,0.858348984672133,M3
M4,env-0.0,c,0.0400784720593554,1.48983604702841,0.841327229678208,0.222241899813512,M4
M4,env-0.0,c.p,0.0400784720593554,1.48983604702841,0.841327229678208,0.222241899813512,M4
M4,env-0.0,nc,6.72972265357439,0.0348191856888938,0.0094819341950936,0.851975053197231,M4
M4,env-0.0,Tm-c,0.0188772645788746,0.242469489940081,0.89071893231213,0.62242818084172,M4
M4,env-0.0,Tm-c.p,0.0188772645788746,0.242469489940081,0.89071893231213,0.62242818084172,M4
M4,env-0.0,Tm-nc,9.30209298283975,0.566615977340928,0.00228892212542553,0.451606779070323,M4
M5,env-0.0,c,0.694393592260122,2.41932349196867,0.40467396546252,0.119846677145809,M5
M5,env-0.0,c.p,0.694393592260122,2.41932349196867,0.40467396546252,0.119846677145809,M5
M5,env-0.0,nc,2.19897852891066,3.01583156461508,0.13810222516311,0.0824551548352666,M5
M5,env-0.0,Tm-c,1.67502473627819,2.16557003442598,0.195586861917155,0.141132278840062,M5
M5,env-0.0,Tm-c.p,1.67502473627819,2.16557003442598,0.195586861917155,0.141132278840062,M5
M5,env-0.0,Tm-nc,2.42719901086811,0.322529457599869,0.119245800554071,0.570091484212392,M5
M6,env-0.0,c,5.39979812171263,0.216457870918615,0.0201390808945833,0.641752199009286,M6
M6,env-0.0,c.p,5.39979812171263,0.216457870918615,0.0201390808945833,0.641752199009286,M6
M6,env-0.0,nc,3.17108922932772,0.154030324879404,0.0749524443230212,0.694713209640054,M6
M6,env-0.0,Tm-c,8.91115699200507,0.184916821846641,0.00283433635120572,0.667181412889694,M6
M6,env-0.0,Tm-c.p,8.91115699200507,0.184916821846641,0.00283433635120572,0.667181412889694,M6
M6,env-0.0,Tm-nc,6.21652208425823,0.236074703652601,0.0126563492749534,0.62705565735852,M6
M7,env-0.0,c,2.31623230896707,1.93901766975738,0.128029800426235,0.163775233685749,M7
M7,env-0.0,c.p,2.31623230896707,1.93901766975738,0.128029800426235,0.163775233685749,M7
M7,env-0.0,nc,2.70383132141782,2.93896087449885,0.100107417135975,0.0864663416714432,M7
M7,env-0.0,Tm-c,1.62996627822268,3.30079582679725,0.201707712810939,0.0692463269900748,M7
M7,env-0.0,Tm-c.p,1.62996627822268,3.30079582679725,0.201707712810939,0.0692463269900748,M7
M7,env-0.0,Tm-nc,0.189644215790003,1.18272919961044,0.663212898683419,0.276801084356049,M7
M8,env-0.0,c,0.360056861754307,1.04751869719759,0.548474657636766,0.30607924603717,M8
M8,env-0.0,c.p,0.360056861754307,1.04751869719759,0.548474657636766,0.30607924603717,M8
M8,env-0.0,nc,3.94097208280153,1.289620980713,0.047123539648402,0.256117810827883,M8
M8,env-0.0,Tm-c,0.982653313698209,0.444347766334292,0.321544622510745,0.505031404177326,M8
M8,env-0.0,Tm-c.p,0.982653313698209,0.444347766334292,0.321544622510745,0.505031404177326,M8
M8,env-0.0,Tm-nc,1.43788164231787,2.15584696116399,0.230482444568861,0.142028107068818,M8
M9,env-0.0,c,0.123759270446126,0.265299360233479,0.724992489971123,0.606502575693348,M9
M9,env-0.0,c.p,0.123759270446126,0.265299360233479,0.724992489971123,0.606502575693348,M9
M9,env-0.0,nc,0.512128590887602,2.78755506880771,0.474218854386125,0.0949990694429525,M9
M9,env-0.0,Tm-c,0.000330254951882414,0.109250703375203,0.985500907302354,0.740998817066559,M9
M9,env-0.0,Tm-c.p,0.000330254951882414,0.109250703375203,0.985500907302354,0.740998817066559,M9
M9,env-0.0,Tm-nc,7.48363276583521,3.19338328476756,0.0062262327436874,0.073936842580642,M9
M10,env-0.0,c,6.21725652673384,0.86376141874186,0.0126510999805842,0.352688221655054,M10
M10,env-0.0,c.p,6.21725652673384,0.86376141874186,0.0126510999805842,0.352688221655054,M10
M10,env-0.0,nc,1.98303547969544,2.78307949021156,0.159070990219223,0.0952648346631328,M10
M10,env-0.0,Tm-c,6.78808851327257,1.20637966067964,0.00917681182680678,0.272050307911381,M10
M10,env-0.0,Tm-c.p,6.78808851327257,1.20637966067964,0.00917681182680678,0.272050307911381,M10
M10,env-0.0,Tm-nc,1.90396386782174,0.000304283252433791,0.167635306400997,0.986082633566383,M10
M11,env-0.0,c,0.33573392219748,0.510583368071632,0.562302095013418,0.47488642951068,M11
M11,env-0.0,c.p,0.33573392219748,0.510583368071632,0.562302095013418,0.47488642951068,M11
M11,env-0.0,nc,1.31338394724945,0.505990757089217,0.251782886104147,0.476879596306199,M11
M11,env-0.0,Tm-c,0.413871823225762,0.118514189885812,0.520010833834609,0.730651590734555,M11
M11,env-0.0,Tm-c.p,0.413871823225762,0.118514189885812,0.520010833834609,0.730651590734555,M11
M11,env-0.0,Tm-nc,1.24072115564526,0.499479442037242,0.265332114804135,0.479728940165267,M11
M12,env-0.0,c,0.00140553751032786,0.0188854914100768,0.970093915574978,0.890695271711095,M12
