rep	case	h2	env	ts	Qx	P-Chi	P-EN
L63	C1	same-0.3	env-0.0	p-0.50	1.29743097503911	0.25468301928945	0.219
L64	C1	same-0.3	env-0.0	p-0.50	2.33993246590945	0.126095020474777	0.148
L65	C1	same-0.3	env-0.0	p-0.50	2.66601802332126	0.102512214933116	0.127
L66	C1	same-0.3	env-0.0	p-0.50	0.179071211913037	0.672172644243244	0.638
L67	C1	same-0.3	env-0.0	p-0.50	0.599151759413529	0.438901851421669	0.462
L68	C1	same-0.3	env-0.0	p-0.50	1.496677944239	0.221183222819035	0.134
L69	C1	same-0.3	env-0.0	p-0.50	1.2729395291459	0.259215949765979	0.28
L70	C1	same-0.3	env-0.0	p-0.50	0.806577519366058	0.369134046636334	0.407
L71	C1	same-0.3	env-0.0	p-0.50	2.3392796294948	0.126147877665292	0.146
L72	C1	same-0.3	env-0.0	p-0.50	1.54775096416883	0.213467766805938	0.208
L73	C1	same-0.3	env-0.0	p-0.50	1.34216589065763	0.246652369940279	0.224
L74	C1	same-0.3	env-0.0	p-0.50	0.505130032826954	0.477254661358744	0.443
L75	C1	same-0.3	env-0.0	p-0.50	1.11864323218741	0.290210788794631	0.264
L76	C1	same-0.3	env-0.0	p-0.50	0.0475062762528225	0.827460787535178	0.848
L77	C1	same-0.3	env-0.0	p-0.50	0.023793920410222	0.877410427018011	0.878
L78	C1	same-0.3	env-0.0	p-0.50	0.162580885662407	0.686791388952002	0.65
L79	C1	same-0.3	env-0.0	p-0.50	1.00530370571965	0.316030560583112	0.264
L80	C1	same-0.3	env-0.0	p-0.50	0.000617687644018234	0.980171958893693	0.975
L81	C1	same-0.3	env-0.0	p-0.50	0.261553742533735	0.609054716794153	0.616
L82	C1	same-0.3	env-0.0	p-0.50	1.01388117655275	0.313974821326224	0.317
L83	C1	same-0.3	env-0.0	p-0.50	0.0313524202425575	0.859456432885623	0.834
L84	C1	same-0.3	env-0.0	p-0.50	0.27387479369366	0.600744292005493	0.581
L85	C1	same-0.3	env-0.0	p-0.50	0.250158313903341	0.616963625832909	0.649
L86	C1	same-0.3	env-0.0	p-0.50	0.0685883664086246	0.793403313939895	0.798
L87	C1	same-0.3	env-0.0	p-0.50	0.0148120870673869	0.903132718188553	0.895
L88	C1	same-0.3	env-0.0	p-0.50	0.0881540868955429	0.766537100056037	0.782
L89	C1	same-0.3	env-0.0	p-0.50	0.364305117915593	0.54612495051482	0.547
L90	C1	same-0.3	env-0.0	p-0.50	0.0930989205612679	0.760273877950552	0.771
L91	C1	same-0.3	env-0.0	p-0.50	2.52758546012976	0.111871283793411	0.123
L92	C1	same-0.3	env-0.0	p-0.50	1.34461731781522	0.246221333411664	0.33
L93	C1	same-0.3	env-0.0	p-0.50	0.0196117172270812	0.888626931775367	0.894
L94	C1	same-0.3	env-0.0	p-0.50	0.385895950099693	0.534464592225049	0.522
L95	C1	same-0.3	env-0.0	p-0.50	1.6067302484072	0.204952038134704	0.203
L96	C1	same-0.3	env-0.0	p-0.50	2.29791646507237	0.129547672082163	0.105
L97	C1	same-0.3	env-0.0	p-0.50	0.326504823963873	0.567724458633021	0.542
L98	C1	same-0.3	env-0.0	p-0.50	0.0778011632652346	0.780299620472151	0.772
L99	C1	same-0.3	env-0.0	p-0.50	0.00787451815079101	0.929289749108911	0.948
L100	C1	same-0.3	env-0.0	p-0.50	0.0786441297617314	0.779143321986574	0.757
L1	C1	diff-0.3	env-0.0	p-0.50			
L2	C1	diff-0.3	env-0.0	p-0.50			
L3	C1	diff-0.3	env-0.0	p-0.50			
L4	C1	diff-0.3	env-0.0	p-0.50			
L5	C1	diff-0.3	env-0.0	p-0.50			
L6	C1	diff-0.3	env-0.0	p-0.50			
L7	C1	diff-0.3	env-0.0	p-0.50			
L8	C1	diff-0.3	env-0.0	p-0.50			
L9	C1	diff-0.3	env-0.0	p-0.50			
L10	C1	diff-0.3	env-0.0	p-0.50			
L11	C1	diff-0.3	env-0.0	p-0.50			
L12	C1	diff-0.3	env-0.0	p-0.50			
L13	C1	diff-0.3	env-0.0	p-0.50			
L14	C1	diff-0.3	env-0.0	p-0.50			
L15	C1	diff-0.3	env-0.0	p-0.50			
L16	C1	diff-0.3	env-0.0	p-0.50			
L17	C1	diff-0.3	env-0.0	p-0.50			
L18	C1	diff-0.3	env-0.0	p-0.50			
L19	C1	diff-0.3	env-0.0	p-0.50			
L20	C1	diff-0.3	env-0.0	p-0.50			
L21	C1	diff-0.3	env-0.0	p-0.50			
L22	C1	diff-0.3	env-0.0	p-0.50			
L23	C1	diff-0.3	env-0.0	p-0.50			
L24	C1	diff-0.3	env-0.0	p-0.50			
L25	C1	diff-0.3	env-0.0	p-0.50			
L26	C1	diff-0.3	env-0.0	p-0.50			
L27	C1	diff-0.3	env-0.0	p-0.50			
L28	C1	diff-0.3	env-0.0	p-0.50			
L29	C1	diff-0.3	env-0.0	p-0.50			
L30	C1	diff-0.3	env-0.0	p-0.50			
L31	C1	diff-0.3	env-0.0	p-0.50			
L32	C1	diff-0.3	env-0.0	p-0.50			
L33	C1	diff-0.3	env-0.0	p-0.50			
L34	C1	diff-0.3	env-0.0	p-0.50			
L35	C1	diff-0.3	env-0.0	p-0.50			
L36	C1	diff-0.3	env-0.0	p-0.50			
L37	C1	diff-0.3	env-0.0	p-0.50			
L38	C1	diff-0.3	env-0.0	p-0.50			
L39	C1	diff-0.3	env-0.0	p-0.50			
