rep	case	h2	pheno	envs	test	Qx	P.Chi	P.EN	P.Chi_Lat	P.EN_Lat	P.Chi_Long	P.EN_Long	type
A5	C1	h2-0	LAT	env-0.0	LAT	0.0372972122673103	0.702478318362225	0.731	0.702478318362225	0.741	0.846861182219944	0.873	c
A5	C1	h2-0	LAT	env-0.0	LAT	0.0372972122673103	0.702478318362225	0.693	0.702478318362225	0.723	0.846861182219944	0.827	c.p
A5	C1	h2-0	LAT	env-0.0	LAT	0.0130564410459409	0.460760121154679	0.477	0.460760121154679	0.456	0.909027897276087	0.919	nc
A5	C1	h2-0	LAT	env-0.0	LAT	0.0323043550154199	0.784990214649712	0.785	0.784990214649712	0.761	0.857361303278849	0.877	c-Tm
A5	C1	h2-0	LAT	env-0.0	LAT	0.0323043550154199	0.784990214649712	0.788	0.784990214649712	0.786	0.857361303278849	0.868	c.p-Tm
A5	C1	h2-0	LAT	env-0.0	LAT	0.0438051136912427	0.528396099424534	0.56	0.528396099424534	0.535	0.834216618315623	0.823	nc-Tm
A5	C1	h2-0	LAT	env-0.0	LAT	0.0345515439615798	0.686681971226341	0.697	0.686681971226341	0.715	0.852538508865657	0.856	c-ID
A5	C1	h2-0	LAT	env-0.0	LAT	0.0345515439615798	0.686681971226341	0.705	0.686681971226341	0.711	0.852538508865657	0.857	c.p-ID
A5	C1	h2-0	LAT	env-0.0	LAT	0.0456127166225453	0.415213796490273	0.418	0.415213796490273	0.431	0.830881352261622	0.832	nc-ID
A6	C1	h2-0	LAT	env-0.0	LAT	1.30768011968168	0.11011915871464	0.09	0.11011915871464	0.079	0.252815112229841	0.228	c
A6	C1	h2-0	LAT	env-0.0	LAT	1.30768011968168	0.11011915871464	0.096	0.11011915871464	0.086	0.252815112229841	0.219	c.p
A6	C1	h2-0	LAT	env-0.0	LAT	3.78490414074987	0.902319318995474	0.88	0.902319318995474	0.91	0.0517168726538619	0.036	nc
A6	C1	h2-0	LAT	env-0.0	LAT	1.29035393201211	0.12144851011334	0.083	0.12144851011334	0.091	0.255982735747495	0.223	c-Tm
A6	C1	h2-0	LAT	env-0.0	LAT	1.29035393201211	0.12144851011334	0.086	0.12144851011334	0.085	0.255982735747495	0.244	c.p-Tm
A6	C1	h2-0	LAT	env-0.0	LAT	3.69092123592124	0.856194495795898	0.836	0.856194495795898	0.843	0.0547093911603099	0.049	nc-Tm
A6	C1	h2-0	LAT	env-0.0	LAT	1.33697257477496	0.0918366059276094	0.056	0.0918366059276094	0.066	0.247568567157358	0.195	c-ID
A6	C1	h2-0	LAT	env-0.0	LAT	1.33697257477496	0.0918366059276094	0.06	0.0918366059276094	0.062	0.247568567157358	0.219	c.p-ID
A6	C1	h2-0	LAT	env-0.0	LAT	2.95647450809903	0.768784169597705	0.756	0.768784169597705	0.765	0.0855342525787007	0.092	nc-ID
A7	C1	h2-0	LAT	env-0.0	LAT	0.000876048216772865	0.717485809181757	0.684	0.717485809181757	0.697	0.976387571292676	0.979	c
A7	C1	h2-0	LAT	env-0.0	LAT	0.000876048216772865	0.717485809181757	0.715	0.717485809181757	0.702	0.976387571292676	0.973	c.p
A7	C1	h2-0	LAT	env-0.0	LAT	0.0302454446219845	0.837211440342655	0.841	0.837211440342655	0.813	0.86193448415494	0.816	nc
A7	C1	h2-0	LAT	env-0.0	LAT	0.000161120422543206	0.472959471977172	0.458	0.472959471977172	0.49	0.989872466337174	0.989	c-Tm
A7	C1	h2-0	LAT	env-0.0	LAT	0.000161120422543206	0.472959471977172	0.433	0.472959471977172	0.443	0.989872466337174	0.994	c.p-Tm
A7	C1	h2-0	LAT	env-0.0	LAT	0.228368595557645	0.166537309372293	0.122	0.166537309372293	0.106	0.632736137530555	0.602	nc-Tm
A7	C1	h2-0	LAT	env-0.0	LAT	0.000453145655926736	0.707896419531659	0.681	0.707896419531659	0.697	0.983016539980855	0.981	c-ID
A7	C1	h2-0	LAT	env-0.0	LAT	0.000453145655926736	0.707896419531659	0.702	0.707896419531659	0.691	0.983016539980855	0.98	c.p-ID
A7	C1	h2-0	LAT	env-0.0	LAT	0.0934061620931399	0.785616526765836	0.756	0.785616526765836	0.764	0.759890779606786	0.729	nc-ID
A8	C1	h2-0	LAT	env-0.0	LAT	2.28902127051204	0.606752327826302	0.609	0.606752327826302	0.592	0.130292060368084	0.117	c
A8	C1	h2-0	LAT	env-0.0	LAT	2.28902127051204	0.606752327826302	0.568	0.606752327826302	0.593	0.130292060368084	0.138	c.p
A8	C1	h2-0	LAT	env-0.0	LAT	6.85881242055909	0.908272536652277	0.921	0.908272536652277	0.912	0.00882051531893665	0.009	nc
A8	C1	h2-0	LAT	env-0.0	LAT	2.6185891491962	0.921310131315809	0.923	0.921310131315809	0.934	0.105618310707711	0.096	c-Tm
A8	C1	h2-0	LAT	env-0.0	LAT	2.6185891491962	0.921310131315809	0.923	0.921310131315809	0.931	0.105618310707711	0.117	c.p-Tm
A8	C1	h2-0	LAT	env-0.0	LAT	7.1801982190698	0.192095266854576	0.16	0.192095266854576	0.201	0.00737125633005576	0.014	nc-Tm
A8	C1	h2-0	LAT	env-0.0	LAT	2.29253462734893	0.631453393086121	0.655	0.631453393086121	0.608	0.129997479284307	0.131	c-ID
A8	C1	h2-0	LAT	env-0.0	LAT	2.29253462734893	0.631453393086121	0.615	0.631453393086121	0.625	0.129997479284307	0.124	c.p-ID
A8	C1	h2-0	LAT	env-0.0	LAT	7.27114043544603	0.788818192270905	0.81	0.788818192270905	0.797	0.00700712980192114	0.004	nc-ID
A9	C1	h2-0	LAT	env-0.0	LAT	0.00162768152527438	0.656927791984549	0.631	0.656927791984549	0.602	0.967818448660142	0.962	c
A9	C1	h2-0	LAT	env-0.0	LAT	0.00162768152527438	0.656927791984549	0.648	0.656927791984549	0.667	0.967818448660142	0.964	c.p
A9	C1	h2-0	LAT	env-0.0	LAT	0.311590092201774	0.424668046255945	0.406	0.424668046255945	0.404	0.576706076504042	0.552	nc
A9	C1	h2-0	LAT	env-0.0	LAT	0.000420978353571507	0.499593831744409	0.466	0.499593831744409	0.481	0.983630346995873	0.983	c-Tm
A9	C1	h2-0	LAT	env-0.0	LAT	0.000420978353571507	0.499593831744409	0.493	0.499593831744409	0.501	0.983630346995873	0.979	c.p-Tm
A9	C1	h2-0	LAT	env-0.0	LAT	0.603731544178477	0.870332352817334	0.871	0.870332352817334	0.884	0.437157804418018	0.463	nc-Tm
A9	C1	h2-0	LAT	env-0.0	LAT	0.00122421307932828	0.651269325537786	0.674	0.651269325537786	0.641	0.972088706422035	0.975	c-ID
A9	C1	h2-0	LAT	env-0.0	LAT	0.00122421307932828	0.651269325537786	0.636	0.651269325537786	0.651	0.972088706422035	0.967	c.p-ID
A9	C1	h2-0	LAT	env-0.0	LAT	0.315567232858845	0.418110776553953	0.396	0.418110776553953	0.428	0.574283833364546	0.588	nc-ID
A10	C1	h2-0	LAT	env-0.0	LAT	2.62314162146825	0.394947053165382	0.414	0.394947053165382	0.382	0.10531574372348	0.103	c
A10	C1	h2-0	LAT	env-0.0	LAT	2.62314162146825	0.394947053165382	0.371	0.394947053165382	0.372	0.10531574372348	0.101	c.p
A10	C1	h2-0	LAT	env-0.0	LAT	1.02537817682188	0.682646680832892	0.664	0.682646680832892	0.659	0.311246678525731	0.263	nc
A10	C1	h2-0	LAT	env-0.0	LAT	2.56642952536156	0.654225490599984	0.673	0.654225490599984	0.652	0.109153847808013	0.108	c-Tm
A10	C1	h2-0	LAT	env-0.0	LAT	2.56642952536156	0.654225490599984	0.638	0.654225490599984	0.661	0.109153847808013	0.112	c.p-Tm
A10	C1	h2-0	LAT	env-0.0	LAT	0.800838678970279	0.229007161151626	0.173	0.229007161151626	0.207	0.370842736548794	0.391	nc-Tm
A10	C1	h2-0	LAT	env-0.0	LAT	2.61656404740671	0.364107800045193	0.336	0.364107800045193	0.367	0.10575320939643	0.1	c-ID
A10	C1	h2-0	LAT	env-0.0	LAT	2.61656404740671	0.364107800045193	0.37	0.364107800045193	0.38	0.10575320939643	0.102	c.p-ID
A10	C1	h2-0	LAT	env-0.0	LAT	1.05669766252285	0.88454579291358	0.875	0.88454579291358	0.877	0.30396958177101	0.261	nc-ID
