rep	case	snp	correlation
A40	C1	snp-20000	0.865441891154957
A41	C1	snp-20000	0.867215831834468
A42	C1	snp-20000	0.874281368915361
A43	C1	snp-20000	0.862453854506729
A44	C1	snp-20000	0.871728889516665
A45	C1	snp-20000	0.867543428774767
A46	C1	snp-20000	0.850695498239026
A47	C1	snp-20000	0.848071495042793
A48	C1	snp-20000	0.878441887058445
A49	C1	snp-20000	0.866799328186388
A50	C1	snp-20000	0.864539424631365
A51	C1	snp-20000	0.879819267916421
A52	C1	snp-20000	0.860845222054641
A53	C1	snp-20000	0.880368455258191
A54	C1	snp-20000	0.877863892601584
A55	C1	snp-20000	0.866547409865297
A56	C1	snp-20000	0.85915660966251
A57	C1	snp-20000	0.829444499879387
A58	C1	snp-20000	0.876654200411038
A59	C1	snp-20000	0.829516446841421
A60	C1	snp-20000	0.842448609729532
A61	C1	snp-20000	0.858321325370054
A62	C1	snp-20000	0.854884555191569
A63	C1	snp-20000	0.861776940872634
A64	C1	snp-20000	0.876000485930316
A65	C1	snp-20000	0.856565461160744
A66	C1	snp-20000	0.872846455446281
A67	C1	snp-20000	0.876326220257001
A68	C1	snp-20000	0.863669936596196
A69	C1	snp-20000	0.858410531359931
A70	C1	snp-20000	0.862294972968606
A71	C1	snp-20000	0.867327696766738
A72	C1	snp-20000	0.872869159097388
A73	C1	snp-20000	0.862840148937129
A74	C1	snp-20000	0.87945082823473
A75	C1	snp-20000	0.876836341123524
A76	C1	snp-20000	0.873108426919351
A77	C1	snp-20000	0.87112097038666
A78	C1	snp-20000	0.86699287809042
A79	C1	snp-20000	0.872306946261782
A80	C1	snp-20000	0.873671284167895
A81	C1	snp-20000	0.869640689372955
A82	C1	snp-20000	0.861339813707476
A83	C1	snp-20000	0.862769696294606
A84	C1	snp-20000	0.871054023901362
A85	C1	snp-20000	0.874673952273797
A86	C1	snp-20000	0.83988662586235
A87	C1	snp-20000	0.858554384207259
A88	C1	snp-20000	0.842395884041639
A89	C1	snp-20000	0.874437634131699
A90	C1	snp-20000	0.877668403131636
A91	C1	snp-20000	0.873536172005293
A92	C1	snp-20000	0.8586212812505
A93	C1	snp-20000	0.868307191937722
A94	C1	snp-20000	0.874756928148219
A95	C1	snp-20000	0.858551618957822
A96	C1	snp-20000	0.875372659931467
A97	C1	snp-20000	0.869370048341749
A98	C1	snp-20000	0.876126035105919
A99	C1	snp-20000	0.860648632743895
A100	C1	snp-20000	0.873233264092901
A1	C1	snp-15000	0.848508603493506
A2	C1	snp-15000	0.869276348805414
A3	C1	snp-15000	0.874869136897043
A4	C1	snp-15000	0.863113420921564
A5	C1	snp-15000	0.877559740579372
A6	C1	snp-15000	0.870936099115351
A7	C1	snp-15000	0.859687590057309
A8	C1	snp-15000	0.840683804078068
A9	C1	snp-15000	0.863659665831358
A10	C1	snp-15000	0.865106268759027
A11	C1	snp-15000	0.868992419190154
A12	C1	snp-15000	0.844762681137783
A13	C1	snp-15000	0.871445645375591
A14	C1	snp-15000	0.86959190269593
A15	C1	snp-15000	0.859093757573634
A16	C1	snp-15000	0.880284799654933
A17	C1	snp-15000	0.865553930747265
A18	C1	snp-15000	0.863444976636709
A19	C1	snp-15000	0.852656802317744
A20	C1	snp-15000	0.873110692570588
A21	C1	snp-15000	0.883124031902301
A22	C1	snp-15000	0.885687169779509
A23	C1	snp-15000	0.882460545506014
A24	C1	snp-15000	0.874753140572487
A25	C1	snp-15000	0.851664259833362
A26	C1	snp-15000	0.865013515420734
A27	C1	snp-15000	0.861402334113148
A28	C1	snp-15000	0.86434255365522
A29	C1	snp-15000	0.859267141400459
A30	C1	snp-15000	0.867404676678104
A31	C1	snp-15000	0.858103115581447
A32	C1	snp-15000	0.865523402193342
A33	C1	snp-15000	0.870417836186543
A34	C1	snp-15000	0.865744185287096
A35	C1	snp-15000	0.865355593019205
A36	C1	snp-15000	0.88031052211661
A37	C1	snp-15000	0.859582349605361
A38	C1	snp-15000	0.875593362428594
A39	C1	snp-15000	0.856833808789272
A40	C1	snp-15000	0.85733451465179
A41	C1	snp-15000	0.862857389803593
A42	C1	snp-15000	0.869709513438861
A43	C1	snp-15000	0.858875309645222
A44	C1	snp-15000	0.870689532866378
A45	C1	snp-15000	0.865554444484136
A46	C1	snp-15000	0.847788543024345
