rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
C6	C1	h2-0.0	p-0.50	env_0.0	1.64631491707079	0.199461233593327	0.17	c-ID
C6	C1	h2-0.0	p-0.50	env_0.0	1.64631491707079	0.199461233593327	0.182	c.p-ID
C6	C1	h2-0.0	p-0.50	env_0.0	0.683624698129818	0.408341359783316	0.423	nc-ID
C6	C1	h2-0.0	p-0.50	env_0.0			1	True
C7	C1	h2-0.0	p-0.50	env_0.0	1.59374664995119	0.206791657768069	0.221	c
C7	C1	h2-0.0	p-0.50	env_0.0	1.59374664995119	0.206791657768069	0.19	c.p
C7	C1	h2-0.0	p-0.50	env_0.0	0.00268824948359629	0.958649544312979	0.964	nc
C7	C1	h2-0.0	p-0.50	env_0.0	1.59790073931861	0.20620096044583	0.221	c-Tm
C7	C1	h2-0.0	p-0.50	env_0.0	1.59790073931861	0.20620096044583	0.219	c.p-Tm
C7	C1	h2-0.0	p-0.50	env_0.0	3.67877039164972e-06	0.998469648701291	0.998	nc-Tm
C7	C1	h2-0.0	p-0.50	env_0.0	1.34505606166997	0.24614428587382	0.268	c-ID
C7	C1	h2-0.0	p-0.50	env_0.0	1.34505606166997	0.24614428587382	0.255	c.p-ID
C7	C1	h2-0.0	p-0.50	env_0.0	0.267225651629138	0.605198929539425	0.608	nc-ID
C7	C1	h2-0.0	p-0.50	env_0.0			1	True
C8	C1	h2-0.0	p-0.50	env_0.0	0.542559571384421	0.461373888647238	0.383	c
C8	C1	h2-0.0	p-0.50	env_0.0	0.542559571384421	0.461373888647238	0.408	c.p
C8	C1	h2-0.0	p-0.50	env_0.0	2.26993278310248	0.131905623161366	0.1	nc
C8	C1	h2-0.0	p-0.50	env_0.0	0.912077865965283	0.339563700213551	0.261	c-Tm
C8	C1	h2-0.0	p-0.50	env_0.0	0.912077865965283	0.339563700213551	0.287	c.p-Tm
C8	C1	h2-0.0	p-0.50	env_0.0	6.6576115670085	0.00987331618170095	0.006	nc-Tm
C8	C1	h2-0.0	p-0.50	env_0.0	0.571683440189996	0.449590736531181	0.352	c-ID
C8	C1	h2-0.0	p-0.50	env_0.0	0.571683440189996	0.449590736531181	0.358	c.p-ID
C8	C1	h2-0.0	p-0.50	env_0.0	1.92735114431618	0.165048534577766	0.125	nc-ID
C8	C1	h2-0.0	p-0.50	env_0.0			1	True
C9	C1	h2-0.0	p-0.50	env_0.0	4.21627859111662	0.0400378809732118	0.025	c
C9	C1	h2-0.0	p-0.50	env_0.0	4.21627859111662	0.0400378809732118	0.026	c.p
C9	C1	h2-0.0	p-0.50	env_0.0	0.204891319715246	0.650801347852699	0.646	nc
C9	C1	h2-0.0	p-0.50	env_0.0	3.06729436204009	0.0798823206981129	0.069	c-Tm
C9	C1	h2-0.0	p-0.50	env_0.0	3.06729436204009	0.0798823206981129	0.049	c.p-Tm
C9	C1	h2-0.0	p-0.50	env_0.0	0.34916943310172	0.554583670782805	0.528	nc-Tm
C9	C1	h2-0.0	p-0.50	env_0.0	3.83760314539626	0.0501151139581169	0.037	c-ID
C9	C1	h2-0.0	p-0.50	env_0.0	3.83760314539626	0.0501151139581169	0.04	c.p-ID
C9	C1	h2-0.0	p-0.50	env_0.0	0.029804925399057	0.862933598464192	0.874	nc-ID
C9	C1	h2-0.0	p-0.50	env_0.0			1	True
C10	C1	h2-0.0	p-0.50	env_0.0	3.14769880054664	0.0760341209506236	0.098	c
C10	C1	h2-0.0	p-0.50	env_0.0	3.14769880054664	0.0760341209506236	0.087	c.p
C10	C1	h2-0.0	p-0.50	env_0.0	5.57982778635089	0.018168509151888	0.037	nc
C10	C1	h2-0.0	p-0.50	env_0.0	2.00473792637042	0.15680839218938	0.188	c-Tm
C10	C1	h2-0.0	p-0.50	env_0.0	2.00473792637042	0.15680839218938	0.178	c.p-Tm
C10	C1	h2-0.0	p-0.50	env_0.0	1.18722268304187	0.275890490682947	0.281	nc-Tm
C10	C1	h2-0.0	p-0.50	env_0.0	3.4997986292396	0.0613762916544702	0.07	c-ID
