rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
A1	C1	h2-0.0	p-0.50	env_0.0	0.00983150043466311	0.921016058669874	0.902	c
A1	C1	h2-0.0	p-0.50	env_0.0	0.00983150043466311	0.921016058669874	0.908	c.p
A1	C1	h2-0.0	p-0.50	env_0.0	1.61461729664091	0.203843965168018	0.162	nc
A1	C1	h2-0.0	p-0.50	env_0.0	0.0350974178764918	0.851391672501652	0.832	c-Tm
A1	C1	h2-0.0	p-0.50	env_0.0	0.0350974178764918	0.851391672501652	0.837	c.p-Tm
A1	C1	h2-0.0	p-0.50	env_0.0	1.97392460499091	0.160031902764828	0.129	nc-Tm
A1	C1	h2-0.0	p-0.50	env_0.0	0.011742925458537	0.913706338378222	0.908	c-ID
A1	C1	h2-0.0	p-0.50	env_0.0	0.011742925458537	0.913706338378222	0.912	c.p-ID
A1	C1	h2-0.0	p-0.50	env_0.0	1.32439014863859	0.249805673547221	0.203	nc-ID
A1	C1	h2-0.0	p-0.50	env_0.0			1	True
A2	C1	h2-0.0	p-0.50	env_0.0	0.00055535751308672	0.981198773102004	0.974	c
A2	C1	h2-0.0	p-0.50	env_0.0	0.00055535751308672	0.981198773102004	0.98	c.p
A2	C1	h2-0.0	p-0.50	env_0.0	2.21420024174253	0.136745909818875	0.125	nc
A2	C1	h2-0.0	p-0.50	env_0.0	0.0123262570078129	0.911597570720986	0.903	c-Tm
A2	C1	h2-0.0	p-0.50	env_0.0	0.0123262570078129	0.911597570720986	0.9	c.p-Tm
A2	C1	h2-0.0	p-0.50	env_0.0	1.89149557335745	0.169033332226415	0.152	nc-Tm
A2	C1	h2-0.0	p-0.50	env_0.0	0.0126908508348836	0.910305128149808	0.907	c-ID
A2	C1	h2-0.0	p-0.50	env_0.0	0.0126908508348836	0.910305128149808	0.902	c.p-ID
A2	C1	h2-0.0	p-0.50	env_0.0	3.68854163616999	0.0547875002625937	0.047	nc-ID
A2	C1	h2-0.0	p-0.50	env_0.0			1	True
A3	C1	h2-0.0	p-0.50	env_0.0	0.0135260439627098	0.907413579611535	0.902	c
A3	C1	h2-0.0	p-0.50	env_0.0	0.0135260439627098	0.907413579611535	0.931	c.p
A3	C1	h2-0.0	p-0.50	env_0.0	3.95414639453685	0.0467560260521957	0.067	nc
A3	C1	h2-0.0	p-0.50	env_0.0	0.0413291129857912	0.838903971336031	0.838	c-Tm
A3	C1	h2-0.0	p-0.50	env_0.0	0.0413291129857912	0.838903971336031	0.828	c.p-Tm
A3	C1	h2-0.0	p-0.50	env_0.0	3.71057831330615	0.0540686544234274	0.074	nc-Tm
A3	C1	h2-0.0	p-0.50	env_0.0	0.011410439111599	0.914932052706153	0.911	c-ID
A3	C1	h2-0.0	p-0.50	env_0.0	0.011410439111599	0.914932052706153	0.916	c.p-ID
A3	C1	h2-0.0	p-0.50	env_0.0	3.89029280775101	0.0485659556966743	0.058	nc-ID
A3	C1	h2-0.0	p-0.50	env_0.0			1	True
A4	C1	h2-0.0	p-0.50	env_0.0	5.1393235940807	0.0233897596242375	0.032	c
A4	C1	h2-0.0	p-0.50	env_0.0	5.1393235940807	0.0233897596242375	0.014	c.p
A4	C1	h2-0.0	p-0.50	env_0.0	0.876534377200632	0.349152645701155	0.304	nc
A4	C1	h2-0.0	p-0.50	env_0.0	4.25965573359548	0.0390278300138273	0.038	c-Tm
A4	C1	h2-0.0	p-0.50	env_0.0	4.25965573359548	0.0390278300138273	0.031	c.p-Tm
A4	C1	h2-0.0	p-0.50	env_0.0	0.0099195601936757	0.920664284467225	0.926	nc-Tm
A4	C1	h2-0.0	p-0.50	env_0.0	6.01659490154151	0.0141719645585739	0.015	c-ID
A4	C1	h2-0.0	p-0.50	env_0.0	6.01659490154151	0.0141719645585739	0.018	c.p-ID
A4	C1	h2-0.0	p-0.50	env_0.0	0.830119358359008	0.362238017564819	0.307	nc-ID
A4	C1	h2-0.0	p-0.50	env_0.0			1	True
A5	C1	h2-0.0	p-0.50	env_0.0	1.62693123686856	0.202128027546034	0.201	c
A5	C1	h2-0.0	p-0.50	env_0.0	1.62693123686856	0.202128027546034	0.198	c.p
A5	C1	h2-0.0	p-0.50	env_0.0	0.412848091659674	0.520527454881604	0.53	nc
A5	C1	h2-0.0	p-0.50	env_0.0	1.18878698228096	0.275574372936104	0.275	c-Tm
A5	C1	h2-0.0	p-0.50	env_0.0	1.18878698228096	0.275574372936104	0.26	c.p-Tm
A5	C1	h2-0.0	p-0.50	env_0.0	0.10945310237382	0.74076763196718	0.721	nc-Tm
A5	C1	h2-0.0	p-0.50	env_0.0	1.83673427652883	0.175334192815886	0.174	c-ID
A5	C1	h2-0.0	p-0.50	env_0.0	1.83673427652883	0.175334192815886	0.188	c.p-ID
A5	C1	h2-0.0	p-0.50	env_0.0	0.396889458401072	0.528700058099016	0.533	nc-ID
A5	C1	h2-0.0	p-0.50	env_0.0			1	True
A6	C1	h2-0.0	p-0.50	env_0.0	1.09544786861347	0.295267281760905	0.298	c
A6	C1	h2-0.0	p-0.50	env_0.0	1.09544786861347	0.295267281760905	0.325	c.p
A6	C1	h2-0.0	p-0.50	env_0.0	1.20455356008769	0.272413464136441	0.25	nc
A6	C1	h2-0.0	p-0.50	env_0.0	0.62055585331906	0.430840802399245	0.426	c-Tm
A6	C1	h2-0.0	p-0.50	env_0.0	0.62055585331906	0.430840802399245	0.41	c.p-Tm
A6	C1	h2-0.0	p-0.50	env_0.0	0.438562453398459	0.507817115160298	0.496	nc-Tm
A6	C1	h2-0.0	p-0.50	env_0.0	0.686176600296153	0.407467913270915	0.381	c-ID
A6	C1	h2-0.0	p-0.50	env_0.0	0.686176600296153	0.407467913270915	0.392	c.p-ID
A6	C1	h2-0.0	p-0.50	env_0.0	0.457925622107902	0.49859503541395	0.477	nc-ID
A6	C1	h2-0.0	p-0.50	env_0.0			1	True
A7	C1	h2-0.0	p-0.50	env_0.0	1.42609479769001	0.232402828382164	0.218	c
A7	C1	h2-0.0	p-0.50	env_0.0	1.42609479769001	0.232402828382164	0.205	c.p
A7	C1	h2-0.0	p-0.50	env_0.0	0.000448446342635616	0.983104819106837	0.981	nc
A7	C1	h2-0.0	p-0.50	env_0.0	0.683721593981115	0.40830814486026	0.388	c-Tm
A7	C1	h2-0.0	p-0.50	env_0.0	0.683721593981115	0.40830814486026	0.4	c.p-Tm
A7	C1	h2-0.0	p-0.50	env_0.0	0.238570836400062	0.625240242767048	0.606	nc-Tm
A7	C1	h2-0.0	p-0.50	env_0.0	1.08814489500187	0.296882605926737	0.261	c-ID
A7	C1	h2-0.0	p-0.50	env_0.0	1.08814489500187	0.296882605926737	0.303	c.p-ID
A7	C1	h2-0.0	p-0.50	env_0.0	0.0234631349901269	0.878258845121376	0.887	nc-ID
A7	C1	h2-0.0	p-0.50	env_0.0			1	True
A8	C1	h2-0.0	p-0.50	env_0.0	0.384148721823736	0.535391231236482	0.563	c
A8	C1	h2-0.0	p-0.50	env_0.0	0.384148721823736	0.535391231236482	0.533	c.p
A8	C1	h2-0.0	p-0.50	env_0.0	1.24647051437448	0.264227662109264	0.259	nc
A8	C1	h2-0.0	p-0.50	env_0.0	0.420025298860867	0.516924420896014	0.543	c-Tm
A8	C1	h2-0.0	p-0.50	env_0.0	0.420025298860867	0.516924420896014	0.532	c.p-Tm
A8	C1	h2-0.0	p-0.50	env_0.0	1.22769601680224	0.267855576280188	0.254	nc-Tm
A8	C1	h2-0.0	p-0.50	env_0.0	0.767881707610007	0.380873161778185	0.403	c-ID
A8	C1	h2-0.0	p-0.50	env_0.0	0.767881707610007	0.380873161778185	0.391	c.p-ID
A8	C1	h2-0.0	p-0.50	env_0.0	0.139208029159334	0.709069611173451	0.696	nc-ID
A8	C1	h2-0.0	p-0.50	env_0.0			1	True
A9	C1	h2-0.0	p-0.50	env_0.0	0.231845937834349	0.630158458663232	0.609	c
A9	C1	h2-0.0	p-0.50	env_0.0	0.231845937834349	0.630158458663232	0.653	c.p
A9	C1	h2-0.0	p-0.50	env_0.0	1.92389035064736	0.165428424101389	0.195	nc
A9	C1	h2-0.0	p-0.50	env_0.0	0.244058937443115	0.62128978402241	0.629	c-Tm
A9	C1	h2-0.0	p-0.50	env_0.0	0.244058937443115	0.62128978402241	0.614	c.p-Tm
A9	C1	h2-0.0	p-0.50	env_0.0	1.77600296683101	0.18264090605155	0.211	nc-Tm
A9	C1	h2-0.0	p-0.50	env_0.0	0.0967371406029095	0.755780895275377	0.76	c-ID
A9	C1	h2-0.0	p-0.50	env_0.0	0.0967371406029095	0.755780895275377	0.74	c.p-ID
A9	C1	h2-0.0	p-0.50	env_0.0	0.219491120176979	0.639427933076973	0.679	nc-ID
A9	C1	h2-0.0	p-0.50	env_0.0			1	True
A10	C1	h2-0.0	p-0.50	env_0.0	0.0232285874919303	0.87886414114771	0.883	c
A10	C1	h2-0.0	p-0.50	env_0.0	0.0232285874919303	0.87886414114771	0.861	c.p
A10	C1	h2-0.0	p-0.50	env_0.0	0.872940264145829	0.350142603308106	0.393	nc
A10	C1	h2-0.0	p-0.50	env_0.0	0.00541586107476549	0.941334611958925	0.943	c-Tm
A10	C1	h2-0.0	p-0.50	env_0.0	0.00541586107476549	0.941334611958925	0.94	c.p-Tm
A10	C1	h2-0.0	p-0.50	env_0.0	0.347356678036579	0.555613278043163	0.57	nc-Tm
A10	C1	h2-0.0	p-0.50	env_0.0	0.00197772433863999	0.964528479343714	0.969	c-ID
A10	C1	h2-0.0	p-0.50	env_0.0	0.00197772433863999	0.964528479343714	0.959	c.p-ID
A10	C1	h2-0.0	p-0.50	env_0.0	0.280741150122774	0.596215851732842	0.61	nc-ID
A10	C1	h2-0.0	p-0.50	env_0.0			1	True
A11	C1	h2-0.0	p-0.50	env_0.0	1.79599046072066	0.180197985437158	0.128	c
A11	C1	h2-0.0	p-0.50	env_0.0	1.79599046072066	0.180197985437158	0.154	c.p
A11	C1	h2-0.0	p-0.50	env_0.0	0.0389221610987646	0.843602950475966	0.797	nc
A11	C1	h2-0.0	p-0.50	env_0.0	1.75818687480859	0.184850829489292	0.187	c-Tm
A11	C1	h2-0.0	p-0.50	env_0.0	1.75818687480859	0.184850829489292	0.167	c.p-Tm
A11	C1	h2-0.0	p-0.50	env_0.0	0.0286597392782463	0.865567065770748	0.827	nc-Tm
A11	C1	h2-0.0	p-0.50	env_0.0	1.72011404114417	0.189678366025326	0.181	c-ID
A11	C1	h2-0.0	p-0.50	env_0.0	1.72011404114417	0.189678366025326	0.188	c.p-ID
A11	C1	h2-0.0	p-0.50	env_0.0	0.0250617804645575	0.874213214605357	0.837	nc-ID
A11	C1	h2-0.0	p-0.50	env_0.0			1	True
A12	C1	h2-0.0	p-0.50	env_0.0	0.291593873479081	0.589200944559231	0.472	c
A12	C1	h2-0.0	p-0.50	env_0.0	0.291593873479081	0.589200944559231	0.479	c.p
A12	C1	h2-0.0	p-0.50	env_0.0	0.046599618543772	0.829089512642742	0.836	nc
A12	C1	h2-0.0	p-0.50	env_0.0	0.0297313669164984	0.863101171040415	0.819	c-Tm
A12	C1	h2-0.0	p-0.50	env_0.0	0.0297313669164984	0.863101171040415	0.811	c.p-Tm
A12	C1	h2-0.0	p-0.50	env_0.0	0.0977896239379318	0.754498470699704	0.761	nc-Tm
A12	C1	h2-0.0	p-0.50	env_0.0	0.199683534270725	0.654976409368397	0.57	c-ID
A12	C1	h2-0.0	p-0.50	env_0.0	0.199683534270725	0.654976409368397	0.546	c.p-ID
A12	C1	h2-0.0	p-0.50	env_0.0	0.0204270316627335	0.886350861790015	0.889	nc-ID
A12	C1	h2-0.0	p-0.50	env_0.0			1	True
A13	C1	h2-0.0	p-0.50	env_0.0	3.54742532350206	0.0596379208790845	0.081	c
A13	C1	h2-0.0	p-0.50	env_0.0	3.54742532350206	0.0596379208790845	0.073	c.p
A13	C1	h2-0.0	p-0.50	env_0.0	0.500425899360225	0.479313045469826	0.488	nc
A13	C1	h2-0.0	p-0.50	env_0.0	3.14165097611517	0.0763165206368285	0.104	c-Tm
A13	C1	h2-0.0	p-0.50	env_0.0	3.14165097611517	0.0763165206368285	0.099	c.p-Tm
A13	C1	h2-0.0	p-0.50	env_0.0	0.244676570518811	0.620848665817282	0.632	nc-Tm
A13	C1	h2-0.0	p-0.50	env_0.0	3.48837813927733	0.0618011041468926	0.077	c-ID
A13	C1	h2-0.0	p-0.50	env_0.0	3.48837813927733	0.0618011041468926	0.081	c.p-ID
A13	C1	h2-0.0	p-0.50	env_0.0	0.393942019552594	0.530234552996806	0.547	nc-ID
A13	C1	h2-0.0	p-0.50	env_0.0			1	True
A14	C1	h2-0.0	p-0.50	env_0.0	0.284647178350046	0.593671343196264	0.564	c
A14	C1	h2-0.0	p-0.50	env_0.0	0.284647178350046	0.593671343196264	0.609	c.p
A14	C1	h2-0.0	p-0.50	env_0.0	0.0172661399172859	0.895458347115077	0.911	nc
A14	C1	h2-0.0	p-0.50	env_0.0	0.0349618647773087	0.851675592046453	0.842	c-Tm
A14	C1	h2-0.0	p-0.50	env_0.0	0.0349618647773087	0.851675592046453	0.826	c.p-Tm
A14	C1	h2-0.0	p-0.50	env_0.0	2.33308933099366	0.12665030411342	0.144	nc-Tm
A14	C1	h2-0.0	p-0.50	env_0.0	0.0656537806005296	0.797773293674113	0.795	c-ID
A14	C1	h2-0.0	p-0.50	env_0.0	0.0656537806005296	0.797773293674113	0.816	c.p-ID
A14	C1	h2-0.0	p-0.50	env_0.0	0.270140365081638	0.603237629767628	0.623	nc-ID
A14	C1	h2-0.0	p-0.50	env_0.0			1	True
A15	C1	h2-0.0	p-0.50	env_0.0	0.169531417699026	0.680528587728577	0.682	c
A15	C1	h2-0.0	p-0.50	env_0.0	0.169531417699026	0.680528587728577	0.665	c.p
A15	C1	h2-0.0	p-0.50	env_0.0	0.000930268167429427	0.975668055862662	0.972	nc
A15	C1	h2-0.0	p-0.50	env_0.0	0.464314154708035	0.495614619091992	0.473	c-Tm
A15	C1	h2-0.0	p-0.50	env_0.0	0.464314154708035	0.495614619091992	0.486	c.p-Tm
A15	C1	h2-0.0	p-0.50	env_0.0	0.0293552404498649	0.863961374980724	0.859	nc-Tm
A15	C1	h2-0.0	p-0.50	env_0.0	0.097688364526664	0.754621522449469	0.749	c-ID
A15	C1	h2-0.0	p-0.50	env_0.0	0.097688364526664	0.754621522449469	0.752	c.p-ID
A15	C1	h2-0.0	p-0.50	env_0.0	0.049480098509536	0.823970422790137	0.8	nc-ID
A15	C1	h2-0.0	p-0.50	env_0.0			1	True
A16	C1	h2-0.0	p-0.50	env_0.0	0.299631791352735	0.584113346621348	0.552	c
A16	C1	h2-0.0	p-0.50	env_0.0	0.299631791352735	0.584113346621348	0.56	c.p
A16	C1	h2-0.0	p-0.50	env_0.0	0.330379480962328	0.565435721335484	0.562	nc
A16	C1	h2-0.0	p-0.50	env_0.0	0.602628761440644	0.437576788638184	0.397	c-Tm
A16	C1	h2-0.0	p-0.50	env_0.0	0.602628761440644	0.437576788638184	0.364	c.p-Tm
A16	C1	h2-0.0	p-0.50	env_0.0	0.47323267232351	0.491503735224006	0.503	nc-Tm
A16	C1	h2-0.0	p-0.50	env_0.0	0.476866145446327	0.489845263530289	0.411	c-ID
A16	C1	h2-0.0	p-0.50	env_0.0	0.476866145446327	0.489845263530289	0.429	c.p-ID
A16	C1	h2-0.0	p-0.50	env_0.0	0.011820974028357	0.91342116524018	0.921	nc-ID
A16	C1	h2-0.0	p-0.50	env_0.0			1	True
A17	C1	h2-0.0	p-0.50	env_0.0	0.48826647483818	0.484701610999303	0.465	c
A17	C1	h2-0.0	p-0.50	env_0.0	0.48826647483818	0.484701610999303	0.492	c.p
A17	C1	h2-0.0	p-0.50	env_0.0	0.0467351387289172	0.8288450155078	0.835	nc
A17	C1	h2-0.0	p-0.50	env_0.0	0.542126108175083	0.46155293155149	0.444	c-Tm
A17	C1	h2-0.0	p-0.50	env_0.0	0.542126108175083	0.46155293155149	0.468	c.p-Tm
A17	C1	h2-0.0	p-0.50	env_0.0	0.224752823237689	0.635442125421178	0.677	nc-Tm
A17	C1	h2-0.0	p-0.50	env_0.0	0.426795288867589	0.513565655526967	0.503	c-ID
A17	C1	h2-0.0	p-0.50	env_0.0	0.426795288867589	0.513565655526967	0.485	c.p-ID
A17	C1	h2-0.0	p-0.50	env_0.0	0.00531416912175103	0.941887008658534	0.939	nc-ID
A17	C1	h2-0.0	p-0.50	env_0.0			1	True
A18	C1	h2-0.0	p-0.50	env_0.0	0.00623136309311521	0.937081155738335	0.936	c
A18	C1	h2-0.0	p-0.50	env_0.0	0.00623136309311521	0.937081155738335	0.946	c.p
A18	C1	h2-0.0	p-0.50	env_0.0	2.53563207431301	0.111302308051002	0.1	nc
A18	C1	h2-0.0	p-0.50	env_0.0	0.306451083200304	0.579866151687246	0.538	c-Tm
