rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
A6	C1	h2-0.3	p-0.50	env_0.0	0.0628649039081669	0.802023834581705	0.857	c.p-Tm
A6	C1	h2-0.3	p-0.50	env_0.0	0.0498173013407183	0.823381488411302	0.848	nc-Tm
A6	C1	h2-0.3	p-0.50	env_0.0	0.117212037448081	0.732078154154483	0.773	c-ID
A6	C1	h2-0.3	p-0.50	env_0.0	0.117212037448081	0.732078154154483	0.793	c.p-ID
A6	C1	h2-0.3	p-0.50	env_0.0	0.00910941587345137	0.923962756402338	0.941	nc-ID
A6	C1	h2-0.3	p-0.50	env_0.0	0.156310631679729	0.692576196388068	0.764	True
A7	C1	h2-0.3	p-0.50	env_0.0	0.227091822814523	0.633688632867238	0.676	c
A7	C1	h2-0.3	p-0.50	env_0.0	0.227091822814523	0.633688632867238	0.667	c.p
A7	C1	h2-0.3	p-0.50	env_0.0	5.21801233299912	0.0223540878973508	0.042	nc
A7	C1	h2-0.3	p-0.50	env_0.0	0.00394391017644834	0.949925320949152	0.958	c-Tm
A7	C1	h2-0.3	p-0.50	env_0.0	0.00394391017644834	0.949925320949152	0.955	c.p-Tm
A7	C1	h2-0.3	p-0.50	env_0.0	1.06642818090603	0.301753631097736	0.381	nc-Tm
A7	C1	h2-0.3	p-0.50	env_0.0	1.26751606395324e-05	0.997159362080779	0.998	c-ID
A7	C1	h2-0.3	p-0.50	env_0.0	1.26751606395324e-05	0.997159362080779	0.998	c.p-ID
A7	C1	h2-0.3	p-0.50	env_0.0	0.672662286619878	0.412124949814992	0.509	nc-ID
A7	C1	h2-0.3	p-0.50	env_0.0	0.000768586815977738	0.977882761690828	0.99	True
A8	C1	h2-0.3	p-0.50	env_0.0	0.353429348868066	0.552178249048961	0.5	c
A8	C1	h2-0.3	p-0.50	env_0.0	0.353429348868066	0.552178249048961	0.513	c.p
A8	C1	h2-0.3	p-0.50	env_0.0	0.654944312626377	0.418350485633668	0.372	nc
A8	C1	h2-0.3	p-0.50	env_0.0	0.321153296742652	0.570915378839276	0.531	c-Tm
A8	C1	h2-0.3	p-0.50	env_0.0	0.321153296742652	0.570915378839276	0.487	c.p-Tm
A8	C1	h2-0.3	p-0.50	env_0.0	0.624725602199699	0.429296624160447	0.365	nc-Tm
A8	C1	h2-0.3	p-0.50	env_0.0	0.27132140076473	0.602446739862495	0.56	c-ID
A8	C1	h2-0.3	p-0.50	env_0.0	0.27132140076473	0.602446739862495	0.588	c.p-ID
A8	C1	h2-0.3	p-0.50	env_0.0	0.570666377335319	0.44999423724478	0.407	nc-ID
A8	C1	h2-0.3	p-0.50	env_0.0	0.103378848526138	0.747811953804199	0.714	True
A9	C1	h2-0.3	p-0.50	env_0.0	1.07226701428559	0.300433941887906	0.308	c
A9	C1	h2-0.3	p-0.50	env_0.0	1.07226701428559	0.300433941887906	0.364	c.p
A9	C1	h2-0.3	p-0.50	env_0.0	2.93778814364876	0.0865291467751333	0.104	nc
A9	C1	h2-0.3	p-0.50	env_0.0	0.398433484194523	0.527899381680802	0.539	c-Tm
A9	C1	h2-0.3	p-0.50	env_0.0	0.398433484194523	0.527899381680802	0.561	c.p-Tm
A9	C1	h2-0.3	p-0.50	env_0.0	0.240306281366555	0.62398498971811	0.66	nc-Tm
A9	C1	h2-0.3	p-0.50	env_0.0	0.433458935395569	0.510296563959643	0.532	c-ID
A9	C1	h2-0.3	p-0.50	env_0.0	0.433458935395569	0.510296563959643	0.536	c.p-ID
A9	C1	h2-0.3	p-0.50	env_0.0	0.514111358708211	0.47336447616348	0.495	nc-ID
A9	C1	h2-0.3	p-0.50	env_0.0	0.898589753638447	0.343160131647881	0.381	True
A10	C1	h2-0.3	p-0.50	env_0.0	2.42421041801576	0.119473427075373	0.101	c
A10	C1	h2-0.3	p-0.50	env_0.0	2.42421041801576	0.119473427075373	0.115	c.p
A10	C1	h2-0.3	p-0.50	env_0.0	1.10788132082501	0.292542966459595	0.308	nc
A10	C1	h2-0.3	p-0.50	env_0.0	2.38003643528984	0.122894680588399	0.118	c-Tm
A10	C1	h2-0.3	p-0.50	env_0.0	2.38003643528984	0.122894680588399	0.11	c.p-Tm
A10	C1	h2-0.3	p-0.50	env_0.0	1.11337406287237	0.291349676473459	0.297	nc-Tm
A10	C1	h2-0.3	p-0.50	env_0.0	2.73175963516172	0.0983708476585089	0.081	c-ID
A10	C1	h2-0.3	p-0.50	env_0.0	2.73175963516172	0.0983708476585089	0.094	c.p-ID
A10	C1	h2-0.3	p-0.50	env_0.0	1.53807740956771	0.214904205891696	0.188	nc-ID
A10	C1	h2-0.3	p-0.50	env_0.0	2.42151230263504	0.119679342423712	0.099	True
A11	C1	h2-0.3	p-0.50	env_0.0	1.55979019245258	0.211695942769781	0.209	c
A11	C1	h2-0.3	p-0.50	env_0.0	1.55979019245258	0.211695942769781	0.209	c.p
A11	C1	h2-0.3	p-0.50	env_0.0	38.0689055351485	6.82897990609124e-10	0	nc
A11	C1	h2-0.3	p-0.50	env_0.0	0.118803428364045	0.73033590875197	0.743	c-Tm
A11	C1	h2-0.3	p-0.50	env_0.0	0.118803428364045	0.73033590875197	0.734	c.p-Tm
A11	C1	h2-0.3	p-0.50	env_0.0	0.054268966095365	0.815794792452315	0.809	nc-Tm
A11	C1	h2-0.3	p-0.50	env_0.0	0.158563604793911	0.690482428343635	0.692	c-ID
A11	C1	h2-0.3	p-0.50	env_0.0	0.158563604793911	0.690482428343635	0.68	c.p-ID
A11	C1	h2-0.3	p-0.50	env_0.0	0.274238110142166	0.60050287684644	0.582	nc-ID
A11	C1	h2-0.3	p-0.50	env_0.0	0.51340960420908	0.473666577946889	0.432	True
A12	C1	h2-0.3	p-0.50	env_0.0	3.20832214823076	0.0732645777710864	0.058	c
A12	C1	h2-0.3	p-0.50	env_0.0	3.20832214823076	0.0732645777710864	0.063	c.p
A12	C1	h2-0.3	p-0.50	env_0.0	40.8713685181628	1.62585744655564e-10	0	nc
A12	C1	h2-0.3	p-0.50	env_0.0	0.207240331315017	0.648939056417341	0.637	c-Tm
A12	C1	h2-0.3	p-0.50	env_0.0	0.207240331315017	0.648939056417341	0.636	c.p-Tm
A12	C1	h2-0.3	p-0.50	env_0.0	1.19302714820927	0.274719793991328	0.272	nc-Tm
A12	C1	h2-0.3	p-0.50	env_0.0	0.113577354371774	0.736107556295772	0.732	c-ID
A12	C1	h2-0.3	p-0.50	env_0.0	0.113577354371774	0.736107556295772	0.727	c.p-ID
