#FID,IID,V2
tsk_280,tsk_280,-0.0665242
tsk_281,tsk_281,0.162738
tsk_282,tsk_282,-0.0806785
tsk_283,tsk_283,-0.0576759
tsk_284,tsk_284,-0.0692463
tsk_285,tsk_285,-0.0692463
tsk_286,tsk_286,0.0654718
tsk_287,tsk_287,0.0706775
tsk_288,tsk_288,-0.0752974
tsk_289,tsk_289,-0.0920236
tsk_290,tsk_290,-0.131457
tsk_291,tsk_291,0.139204
tsk_292,tsk_292,-0.131457
tsk_293,tsk_293,0.11626
tsk_294,tsk_294,0.092918
tsk_295,tsk_295,0.141555
tsk_296,tsk_296,-0.102894
tsk_297,tsk_297,-0.00677461
tsk_298,tsk_298,0.0643791
tsk_299,tsk_299,0.117737
tsk_0,tsk_0,-0.0160328
tsk_1,tsk_1,0.114362
tsk_2,tsk_2,0.0513479
tsk_3,tsk_3,0.0238594
tsk_4,tsk_4,0.0238594
tsk_5,tsk_5,0.132544
tsk_6,tsk_6,0.0238594
tsk_7,tsk_7,0.0238594
tsk_8,tsk_8,0.0238594
tsk_9,tsk_9,0.0238594
tsk_10,tsk_10,0.0110028
tsk_11,tsk_11,0.014125
tsk_12,tsk_12,0.754613
tsk_13,tsk_13,0.00382293
tsk_14,tsk_14,-0.0583907
tsk_15,tsk_15,0.754613
tsk_16,tsk_16,-0.0229375
tsk_17,tsk_17,0.0365535
tsk_18,tsk_18,0.0702953
tsk_19,tsk_19,0.14515
tsk_20,tsk_20,0.109833
tsk_21,tsk_21,-0.188574
tsk_22,tsk_22,0.509338
tsk_23,tsk_23,-0.124415
tsk_24,tsk_24,-0.0928652
tsk_25,tsk_25,-0.152143
tsk_26,tsk_26,-0.101639
tsk_27,tsk_27,0.0584838
tsk_28,tsk_28,-0.00359218
tsk_29,tsk_29,-0.13535
tsk_30,tsk_30,0.0634247
tsk_31,tsk_31,-0.0704849
tsk_32,tsk_32,0.0671472
tsk_33,tsk_33,0.523991
tsk_34,tsk_34,-0.0219934
tsk_35,tsk_35,0.0618373
tsk_36,tsk_36,-0.0219934
tsk_37,tsk_37,0.130679
tsk_38,tsk_38,0.0809896
tsk_39,tsk_39,-0.0433176
tsk_40,tsk_40,0.0907652
tsk_41,tsk_41,-0.0219934
tsk_42,tsk_42,0.132466
tsk_43,tsk_43,0.409755
tsk_44,tsk_44,0.0341899
tsk_45,tsk_45,0.150997
tsk_46,tsk_46,0.103728
tsk_47,tsk_47,0.103728
tsk_48,tsk_48,-0.0599558
tsk_49,tsk_49,-0.171685
tsk_50,tsk_50,-0.171685
tsk_51,tsk_51,0.124618
tsk_52,tsk_52,-0.171685
tsk_53,tsk_53,0.0411764
tsk_54,tsk_54,-0.174472
tsk_55,tsk_55,-0.174472
tsk_56,tsk_56,0.00205294
tsk_57,tsk_57,0.0336471
tsk_58,tsk_58,-0.172624
tsk_59,tsk_59,0.68681
tsk_60,tsk_60,0.0580385
tsk_61,tsk_61,-0.0941081
tsk_62,tsk_62,0.0502957
tsk_63,tsk_63,0.0307046
tsk_64,tsk_64,-0.10215
tsk_65,tsk_65,0.00490895
tsk_66,tsk_66,0.120096
tsk_67,tsk_67,0.120096
tsk_68,tsk_68,0.159382
tsk_69,tsk_69,-0.325743
tsk_70,tsk_70,0.0329321
tsk_71,tsk_71,0.00719503
tsk_72,tsk_72,0.165416
tsk_73,tsk_73,-0.176903
tsk_74,tsk_74,-0.325743
tsk_75,tsk_75,0.0265978
tsk_76,tsk_76,-0.0728577
tsk_77,tsk_77,0.0380045
tsk_78,tsk_78,0.165416
tsk_79,tsk_79,-0.0840044
tsk_80,tsk_80,-0.0457011
tsk_81,tsk_81,0.157626
tsk_82,tsk_82,0.199912
tsk_83,tsk_83,-0.0918364
tsk_84,tsk_84,-0.314213
tsk_85,tsk_85,0.157626
tsk_86,tsk_86,0.189888
tsk_87,tsk_87,-0.314213
tsk_88,tsk_88,-0.314213
tsk_89,tsk_89,0.20992
tsk_90,tsk_90,0.0492082
tsk_91,tsk_91,0.169407
tsk_92,tsk_92,-0.0308674
tsk_93,tsk_93,0.0257992
tsk_94,tsk_94,0.0211915
tsk_95,tsk_95,0.0280279
tsk_96,tsk_96,0.0134946
tsk_97,tsk_97,0.0134946
tsk_98,tsk_98,0.0134946
tsk_99,tsk_99,0.0359643
tsk_200,tsk_200,0.174542
tsk_201,tsk_201,0.426103
tsk_202,tsk_202,0.0359643
tsk_203,tsk_203,-0.114135
tsk_204,tsk_204,-0.114135
tsk_205,tsk_205,-0.114135
tsk_206,tsk_206,-0.114135
tsk_207,tsk_207,-0.114135
tsk_208,tsk_208,-0.114135
