FID	IID	pheno_random	pheno_strat
tsk_0	tsk_0	-0.151708333239513	0.804298882976415
tsk_1	tsk_1	0.996438421681194	0.379430888129297
tsk_2	tsk_2	0.256373996049198	1.12847330734719
tsk_3	tsk_3	2.31725972466383	3.25443668815305
tsk_4	tsk_4	1.25790856942263	2.57327528237835
tsk_5	tsk_5	-0.158880083245714	0.35314216438329
tsk_6	tsk_6	2.25109959817804	2.49941407111743
tsk_7	tsk_7	2.88572166655233	3.76356012789703
tsk_8	tsk_8	0.608800454438082	1.12101639221439
tsk_9	tsk_9	0.961720932522978	1.25664095695163
tsk_10	tsk_10	0.969805087704445	1.60498746121144
tsk_11	tsk_11	0.240582776368868	1.07530594101409
tsk_12	tsk_12	1.30427919948147	2.02756792148355
tsk_13	tsk_13	1.81379612281381	2.02991262019111
tsk_14	tsk_14	2.55779578602876	3.34093730184888
tsk_15	tsk_15	1.33063772853853	2.32447932849742
tsk_16	tsk_16	2.44251934556708	2.40064943843098
tsk_17	tsk_17	3.42434927705026	3.67039847656712
tsk_18	tsk_18	1.14189295571568	1.08537659033258
tsk_19	tsk_19	0.523211445715248	1.2348516304846
tsk_20	tsk_20	2.15497102603575	2.24394249986422
tsk_21	tsk_21	1.40296007721967	0.891673664384603
tsk_22	tsk_22	1.28458292026583	1.4659172103258
tsk_23	tsk_23	1.01549358064152	1.59438244711576
tsk_24	tsk_24	1.12216963932717	2.26411486484526
tsk_25	tsk_25	2.29930786878943	2.95736949777756
tsk_26	tsk_26	1.28682051332309	1.82719690735983
tsk_27	tsk_27	1.12597040144148	1.53138944599234
tsk_28	tsk_28	3.40128416791782	3.53682281338317
tsk_29	tsk_29	2.05202017349544	2.15515753956467
tsk_30	tsk_30	0.802323731571211	0.891516100012851
tsk_31	tsk_31	2.87684793964605	2.4327714755489
tsk_32	tsk_32	2.24932442250845	2.70515552724052
tsk_33	tsk_33	0.27949342285505	1.13859413501199
tsk_34	tsk_34	2.6070618609341	3.01995535649517
tsk_35	tsk_35	1.72840289805339	2.28615789476688
tsk_36	tsk_36	1.55771358258194	1.41346806391987
tsk_37	tsk_37	0.607268443970854	1.14698685011171
tsk_38	tsk_38	1.51296316505983	1.58174980552616
tsk_39	tsk_39	1.69502532627053	2.52803972813359
tsk_40	tsk_40	0.446250656726663	0.889240249002604
tsk_41	tsk_41	-1.00000392826939	-0.0646661490307708
tsk_42	tsk_42	2.62643007236272	2.85023004439296
tsk_43	tsk_43	0.410171226123819	1.6909180617675
tsk_44	tsk_44	1.74182343358883	2.41180435383318
tsk_45	tsk_45	0.0129370658096176	0.353099114638659
tsk_46	tsk_46	2.03667848640303	2.97474836844699
tsk_47	tsk_47	1.55042882666511	1.41488223736912
tsk_48	tsk_48	2.17416934381633	2.43531070907284
tsk_49	tsk_49	1.58330839921995	2.27978625135228
tsk_50	tsk_50	2.62732011610699	3.43827157255139
tsk_51	tsk_51	2.1692536191993	2.63540587902547
tsk_52	tsk_52	0.951976966076253	1.26686579014866
tsk_53	tsk_53	3.13867881183933	2.5102110510387
tsk_54	tsk_54	-0.701134258948585	0.265760118089786
tsk_55	tsk_55	1.99660240607833	2.21673327629792
tsk_56	tsk_56	1.41844249209777	1.58973538001762
tsk_57	tsk_57	0.364366177221851	1.51541760259214
tsk_58	tsk_58	1.18673059369242	1.30495376589194
tsk_59	tsk_59	1.78306773793623	2.21501628763963
tsk_60	tsk_60	0.472433294440556	0.898459547259443
tsk_61	tsk_61	2.81270636209433	2.83553465635638
